trialNum,firstVal,secondVal,firstIsChosen,decisionRT,firstFixLat,secondFixLat,thirdFixLat
10,1,5,0,0.727109534665942,0.154,0.374,NaN
16,1,3,0,0.827560942620039,0.259,0.495,NaN
33,1,3,0,0.796905504539609,0.147,0.415,NaN
50,1,3,0,0.817210523411632,0.147,0.403,NaN
57,1,4,0,0.787259433418512,0.178,0.446,NaN
62,1,3,0,0.816735608503222,0.144,0.368,NaN
83,1,3,0,0.817092822864652,0.154,0.426,NaN
110,1,4,0,0.907299879938364,0.149,0.405,NaN
111,1,2,1,0.96687781251967,0.144,0.396,0.776
118,1,3,1,0.856945483013988,0.146,0.39,0.662
131,1,5,0,0.706998012959957,0.165,0.421,NaN
143,1,5,0,0.80727780610323,0.155,0.411,NaN
152,1,2,1,0.848779974505305,0.146,0.402,0.674
161,1,4,0,0.717281399294734,0.161,0.413,NaN
166,1,3,0,0.91711981780827,0.199,0.447,NaN
182,1,2,1,1.13731567747891,0.174,0.414,0.874
202,1,2,1,0.997698690742254,0.228,0.476,0.76
203,1,3,1,1.23722000792623,0.161,0.401,0.705
217,1,2,0,0.767127005383372,0.19,0.418,NaN
221,1,2,0,0.78688257932663,0.13,0.414,NaN
232,1,4,0,0.777145916596055,0.186,0.418,NaN
234,1,5,0,0.807059407234192,0.178,0.418,NaN
241,1,4,0,0.786939736455679,0.144,0.404,NaN
248,1,2,1,1.02711628563702,0.18,0.448,0.836
258,1,3,0,0.857434272766113,0.26,0.492,NaN
268,1,3,0,0.867293452844024,0.143,0.363,NaN
272,1,3,0,0.9670804515481,0.223,0.459,NaN
290,1,5,0,0.817195782437921,0.162,0.406,NaN
303,1,4,0,0.747030889615417,0.147,0.407,NaN
307,1,1,1,0.926832430064678,0.151,0.387,0.767
315,1,3,0,0.787193737924099,0.177,0.409,NaN
330,1,3,0,0.876935815438628,0.281,0.517,NaN
342,1,3,0,0.797103548422456,0.24,0.472,NaN
373,1,5,0,0.776892451569438,0.16,0.4,NaN
379,1,2,1,0.987547319382429,0.182,0.41,0.806
398,1,1,1,1.00719292089343,0.174,0.426,0.706
409,1,4,0,0.797443876042962,0.153,0.409,NaN
422,1,4,0,0.80706219561398,0.197,0.433,NaN
425,1,2,1,0.966993063688278,0.243,0.483,0.771
426,1,2,0,0.82753218151629,0.174,0.418,NaN
431,1,3,0,0.766946911811829,0.172,0.384,NaN
444,1,3,0,0.857047455385327,0.158,0.386,NaN
466,1,5,0,0.787340965121984,0.178,0.418,NaN
467,1,3,0,1.06817595660686,0.142,0.394,0.73
487,1,4,0,0.796992735937238,0.153,0.417,NaN
492,1,3,0,0.837281906977296,0.208,0.432,NaN
519,1,4,0,0.977442065253854,0.173,0.417,0.789
521,1,5,0,0.797180471941829,0.148,0.424,NaN
522,1,5,0,0.746955372393131,0.137,0.381,NaN
526,1,5,0,0.807147087529302,0.176,0.396,NaN
532,1,4,0,0.807068780064583,0.21,0.434,NaN
546,1,3,0,0.697198068723083,0.173,0.405,NaN
561,1,5,0,0.756773635745049,0.14,0.372,NaN
569,1,3,0,0.787233388051391,0.166,0.398,NaN
576,1,4,0,0.787055172026157,0.177,0.397,NaN
605,1,3,1,0.91718790307641,0.145,0.381,0.661
29,1,3,0,0.77763662673533,0.186,0.434,NaN
31,1,4,0,0.726738046854734,0.136,0.392,NaN
47,1,3,0,0.727276366204023,0.165,0.397,NaN
55,1,5,0,0.707121500745416,0.148,0.368,NaN
59,1,4,0,0.787056608125567,0.145,0.397,NaN
63,1,2,0,0.797267705202103,0.151,0.387,NaN
75,1,3,0,0.787358440458775,0.142,0.362,NaN
92,1,3,0,0.928368734195828,0.136,0.4,NaN
105,1,4,0,0.766985135152936,0.153,0.393,NaN
112,1,3,0,0.717283295467496,0.129,0.357,NaN
116,1,1,0,0.847247818484902,0.227,0.463,NaN
122,1,5,0,0.876964503899217,0.275,0.499,NaN
125,1,3,0,0.716908223927021,0.15,0.366,NaN
136,1,2,1,0.987267196178436,0.155,0.399,0.731
149,1,3,0,0.867665763944387,0.216,0.46,NaN
151,1,5,0,0.737173311412334,0.168,0.38,NaN
162,1,5,0,0.69698341935873,0.146,0.374,NaN
172,1,3,0,0.716903142631054,0.165,0.373,NaN
177,1,4,0,0.756969045847654,0.146,0.39,NaN
179,1,3,0,0.766882097348571,0.157,0.381,NaN
193,1,2,0,1.07694655843079,0.161,0.409,NaN
204,1,2,0,0.807024488225579,0.202,0.434,NaN
206,1,5,0,0.727553067728877,0.138,0.362,NaN
249,1,4,0,0.717075807973742,0.168,0.408,NaN
252,1,4,0,0.787248307839036,0.158,0.43,NaN
256,1,5,0,0.797337986528873,0.184,0.4,NaN
277,1,5,0,0.687707930803299,0.128,0.396,NaN
294,1,5,0,0.806946266442537,0.215,0.467,NaN
301,1,4,0,0.88725739531219,0.251,0.471,NaN
302,1,3,0,0.807139024138451,0.211,0.451,NaN
308,1,1,0,0.857045663520694,0.18,0.52,NaN
322,1,3,0,0.796930653974414,0.16,0.392,NaN
340,1,2,0,0.787004563957453,0.164,0.388,NaN
341,1,1,0,0.807008614763618,0.167,0.395,NaN
343,1,3,0,0.81684748083353,0.194,0.43,NaN
344,1,3,0,0.837147437036037,0.239,0.475,NaN
353,1,3,0,0.877110071480274,0.15,0.382,NaN
374,1,3,0,1.06706128641963,0.191,0.427,NaN
393,1,1,0,0.817126644775271,0.151,0.391,NaN
396,1,2,0,0.807150298729539,0.133,0.425,NaN
407,1,3,0,0.827062766999006,0.23,0.454,NaN
410,1,2,0,1.05701114051044,0.227,0.471,NaN
429,1,3,0,0.756928535178304,0.176,0.38,NaN
447,1,5,0,0.806842945516109,0.18,0.424,NaN
449,1,3,0,0.767149908468127,0.18,0.42,NaN
464,1,1,0,0.867271851748228,0.246,0.482,NaN
494,1,3,0,0.778201632201672,0.159,0.395,NaN
501,1,3,0,0.829048192128539,0.218,0.454,NaN
552,1,4,0,0.756989186629653,0.164,0.404,NaN
560,1,3,0,0.766912249848247,0.166,0.418,NaN
568,1,2,0,0.757165594026446,0.175,0.407,NaN
580,1,5,0,0.706850150600076,0.173,0.397,NaN
582,1,5,0,0.807077577337623,0.231,0.479,NaN
