trialNum,lVal,rVal,firstVal,secondVal,chosenVal,leftChosen,firstChosen,liftRT,reachRT,firstIsLeft,firstIsRight,secondIsLeft,secondIsRight,firstFixLat,secondFixLat,thirdFixLat,firstFixDur,secondFixDur,thirdFixDur
12,1,1,1,1,1,-0,0,0.72744863294065,0.143715603277087,1,0,0,1,0.157,0.397,NaN,0.188,0.784,NaN
15,3,1,1,3,1,-0,1,0.93236125074327,0.149473318830132,0,1,1,0,0.136,0.376,0.768,0.184,0.348,0.78
20,1,5,1,5,5,-0,0,0.857248591259122,0.159257125109434,1,0,0,1,0.162,0.382,0.61,0.168,0.168,0.152
27,3,1,1,3,3,1,0,0.847315512597561,0.140770599246025,0,1,1,0,0.154,0.386,NaN,0.192,0.968,NaN
37,1,3,1,3,3,-0,0,0.987412156537175,0.143419373780489,1,0,0,1,0.168,0.42,0.664,0.2,0.188,0.148
45,5,1,1,5,5,1,0,0.956926807761192,0.158879563212395,0,1,1,0,0.184,0.408,NaN,0.184,1.06,NaN
48,5,1,1,5,5,1,0,0.796943932771683,0.151267847046256,0,1,1,0,0.15,0.39,NaN,0.184,0.74,NaN
50,2,1,1,2,2,1,0,0.74746435135603,0.154395207762718,0,1,1,0,0.144,0.36,NaN,0.172,0.772,NaN
61,5,1,1,5,5,1,0,0.717360984534025,0.156225401908159,0,1,1,0,0.144,0.38,NaN,0.196,0.508,NaN
73,4,1,1,4,4,1,0,0.78713907673955,0.152606155723333,0,1,1,0,0.145,0.369,NaN,0.184,0.848,NaN
75,3,1,1,3,3,1,0,0.80697475746274,0.139984840527177,0,1,1,0,0.158,0.39,NaN,0.184,0.896,NaN
90,4,1,1,4,4,1,0,1.04700087569654,0.151851195842028,0,1,1,0,0.198,0.446,NaN,0.188,0.932,NaN
123,1,5,1,5,5,-0,0,0.937187155708671,0.133505303412676,1,0,0,1,0.249,0.485,NaN,0.184,1.252,NaN
124,3,1,1,3,3,1,0,0.76705576851964,0.155881211161613,0,1,1,0,0.2,0.428,NaN,0.184,0.584,NaN
127,4,1,1,4,4,1,0,0.747299695387483,0.158987665548921,0,1,1,0,0.153,0.369,NaN,0.16,0.768,NaN
145,4,1,1,4,4,1,0,0.789418302476406,0.147920798510313,0,1,1,0,0.143,0.383,NaN,0.2,0.904,NaN
148,3,1,1,3,3,1,0,0.757075851783156,0.13978323340416,0,1,1,0,0.148,0.352,NaN,0.168,0.796,NaN
157,2,1,1,2,2,1,0,0.722827728837729,0.149973507970572,0,1,1,0,0.166,0.39,NaN,0.18,0.644,NaN
189,3,1,1,3,3,1,0,0.937267392873764,0.162955723702908,0,1,1,0,0.146,0.386,NaN,0.184,0.828,NaN
198,3,1,1,3,3,1,0,0.707146940752864,0.168988639488816,0,1,1,0,0.152,0.364,NaN,0.156,0.84,NaN
207,4,1,1,4,4,1,0,0.767034066841006,0.155482577160001,0,1,1,0,0.195,0.423,NaN,0.18,0.636,NaN
214,3,1,1,3,3,1,0,0.686947531998158,0.172608407214284,0,1,1,0,0.147,0.387,NaN,0.196,0.66,NaN
224,1,5,1,5,5,-0,0,0.817247563973069,0.145904095843434,1,0,0,1,0.139,0.359,NaN,0.168,0.736,NaN
226,5,1,1,5,5,1,0,0.807393817231059,0.150027925148606,0,1,1,0,0.171,0.415,NaN,0.2,0.764,NaN
241,1,3,1,3,3,-0,0,0.74718769825995,0.170755008235574,1,0,0,1,0.146,0.354,NaN,0.156,0.616,NaN
251,1,3,1,3,3,-0,0,0.730680523440242,0.171114584431052,1,0,0,1,0.187,0.403,NaN,0.164,0.676,NaN
252,3,1,1,3,3,1,0,0.657512368634343,0.206877533346415,0,1,1,0,0.135,0.383,NaN,0.192,0.532,NaN
266,3,1,1,3,3,1,0,0.777353957295418,0.14561290293932,0,1,1,0,0.22,0.436,NaN,0.176,0.556,NaN
273,3,1,1,3,3,1,0,0.767324944958091,0.145736504346132,0,1,1,0,0.164,0.42,NaN,0.212,0.652,NaN
281,1,3,1,3,3,-0,0,0.747293457388878,0.151501974090934,1,0,0,1,0.162,0.374,NaN,0.176,0.76,NaN
290,5,1,1,5,5,1,0,0.727061258628964,0.154130533337593,0,1,1,0,0.16,0.4,NaN,0.184,0.756,NaN
309,3,1,1,3,3,1,0,0.79703414440155,0.151132380589843,0,1,1,0,0.212,0.452,NaN,0.2,0.712,NaN
325,5,1,1,5,5,1,0,0.686926500871778,0.164089862257242,0,1,1,0,0.145,0.389,NaN,0.188,0.728,NaN
332,1,3,1,3,3,-0,0,0.717132300138474,0.165611360222101,1,0,0,1,0.146,0.37,NaN,0.172,0.656,NaN
351,2,1,1,2,2,1,0,0.796944743022323,0.149334983900189,0,1,1,0,0.224,0.452,NaN,0.188,0.54,NaN
367,3,1,1,3,3,1,0,0.727063095197082,0.154363337904215,0,1,1,0,0.222,0.45,NaN,0.168,0.604,NaN
370,4,1,1,4,4,1,0,0.84692195430398,0.181817641481757,0,1,1,0,0.142,0.366,NaN,0.18,0.88,NaN
371,1,5,1,5,5,-0,0,0.777322717010975,0.134669980034232,1,0,0,1,0.154,0.342,NaN,0.148,0.984,NaN
372,1,3,1,3,3,-0,0,0.767035057768226,0.156055184081197,1,0,0,1,0.157,0.373,NaN,0.176,0.704,NaN
380,1,3,1,3,3,-0,0,0.806917067617178,0.149502208456397,1,0,0,1,0.174,0.394,NaN,0.172,0.732,NaN
389,1,5,1,5,5,-0,0,0.816943526268005,0.154111955314875,1,0,0,1,0.169,0.381,NaN,0.16,0.804,NaN
407,1,5,1,5,5,-0,0,0.777239304035902,0.144880590960383,1,0,0,1,0.182,0.394,NaN,0.172,0.94,NaN
416,1,2,1,2,2,-0,0,0.727283831685781,0.154149707406759,1,0,0,1,0.136,0.336,NaN,0.16,0.684,NaN
427,3,1,1,3,3,1,0,0.706881761550903,0.159254990518093,0,1,1,0,0.144,0.364,NaN,0.176,0.684,NaN
435,1,3,1,3,3,-0,0,0.776913231238723,0.156899796798825,1,0,0,1,0.169,0.413,NaN,0.188,0.636,NaN
443,3,1,1,3,3,1,0,0.667127745226026,0.155748531222343,0,1,1,0,0.147,0.363,NaN,0.172,0.48,NaN
456,1,3,1,3,3,-0,0,0.696980008855462,0.160735925659537,1,0,0,1,0.14,0.34,NaN,0.148,0.852,NaN
459,3,1,1,3,3,1,0,0.687176577746868,0.160492371767759,0,1,1,0,0.141,0.369,NaN,0.184,0.652,NaN
473,1,3,1,3,3,-0,0,0.82716335915029,0.144380196928978,1,0,0,1,0.172,0.416,NaN,0.204,0.72,NaN
486,4,1,1,4,4,1,0,0.717390161007643,0.175502620637417,0,1,1,0,0.16,0.376,NaN,0.172,0.512,NaN
490,3,1,1,3,3,1,0,0.696954244747758,0.170863188803196,0,1,1,0,0.155,0.375,NaN,0.18,0.616,NaN
494,2,1,1,2,1,-0,1,1.17725363560021,0.185378262773156,0,1,1,0,0.181,0.401,0.901,0.18,0.448,0.472
500,3,1,1,3,3,1,0,1.12278893962502,0.171105520799756,0,1,1,0,0.149,0.397,0.721,0.204,0.28,0.204
513,1,3,1,3,3,-0,0,0.837188443168998,0.163621284067631,1,0,0,1,0.185,0.409,NaN,0.184,0.672,NaN
519,1,3,1,3,3,-0,0,0.716999059543014,0.165976967662573,1,0,0,1,0.141,0.357,NaN,0.176,0.74,NaN
531,1,4,1,4,4,-0,0,0.857076050713658,0.169511038810015,1,0,0,1,0.225,0.437,NaN,0.172,0.792,NaN
532,2,1,1,2,2,1,0,0.707296244800091,0.198989924043417,0,1,1,0,0.152,0.388,NaN,0.188,0.628,NaN
541,1,2,1,2,2,-0,0,0.807976817712188,0.177421322092414,1,0,0,1,0.154,0.398,NaN,0.196,0.716,NaN
542,1,1,1,1,1,-0,0,1.1970724388957,0.16209121607244,1,0,0,1,0.149,0.353,0.729,0.164,0.332,0.176
559,1,5,1,5,5,-0,0,0.816930707544088,0.156250856816769,1,0,0,1,0.151,0.371,NaN,0.168,0.94,NaN
562,3,1,1,3,3,1,0,0.80730633623898,0.150268599390984,0,1,1,0,0.134,0.386,NaN,0.208,0.752,NaN
