sim_id,true_sigma,true_eta,true_kappa,true_a,true_b,true_x0,tada_eta,tada_kappa,tada_a,tada_z,tada_eta_hdi_3%,tada_eta_hdi_97%,tada_kappa_hdi_3%,tada_kappa_hdi_97%,tada_a_hdi_3%,tada_a_hdi_97%,tada_z_hdi_3%,tada_z_hdi_97%,tada_x0,tada_x0_hdi_3%,tada_x0_hdi_97%,addm_eta,addm_kappa,addm_a,addm_x0_raw,addm_eta_hdi_3%,addm_eta_hdi_97%,addm_kappa_hdi_3%,addm_kappa_hdi_97%,addm_a_hdi_3%,addm_a_hdi_97%,addm_x0_raw_hdi_3%,addm_x0_raw_hdi_97%,addm_x0,addm_x0_hdi_3%,addm_x0_hdi_97%,time_data_simulation,time_tada_inference,time_addm_inference,tada_eta_error,tada_eta_rel_error,addm_eta_error,addm_eta_rel_error,tada_kappa_error,tada_kappa_rel_error,addm_kappa_error,addm_kappa_rel_error,tada_a_error,tada_a_rel_error,addm_a_error,addm_a_rel_error,tada_x0_error,tada_x0_rel_error,addm_x0_error,addm_x0_rel_error
0,1.0,0.3,0.5,2.140826770376092,0.0,0.5,0.259,0.513,2.086,0.615,0.24397933392028534,0.27232494655794637,0.5001131923024227,0.5251091856378847,2.0618752528443647,2.113797396214421,0.6095665678878319,0.6205976561156996,0.4797799999999999,0.4571117212280349,0.5031334213146987,0.295,0.503,2.161,0.619,0.2792716679063494,0.3063250386159461,0.49045951408191657,0.5147758142572847,2.1317332342582875,2.1868808073490116,0.6125563415857661,0.6241031706308444,0.5143179999999998,0.48646850833368127,0.5363739034665094,3454.681920528412,121.48098397254944,1824.24063706398,-0.04099999999999998,-0.1366666666666666,-0.0050000000000000044,-0.016666666666666684,0.013000000000000012,0.026000000000000023,0.0030000000000000027,0.006000000000000005,-0.05482677037609207,-0.025610091920917226,0.020173229623908107,0.009423102281350935,-0.020220000000000127,-0.040440000000000254,0.01431799999999983,0.02863599999999966
1,1.0,0.3,0.5,3.5954428951372184,0.0,0.5,0.301,0.478,3.445,0.569,0.2911575587350704,0.3110833498398372,0.4678788167066908,0.4871871830214244,3.4026189178798094,3.490837458488056,0.5637702655547163,0.5751319564640213,0.47540999999999967,0.43937712967199527,0.5176591800371066,0.3,0.5,3.599,0.57,0.29067538080368927,0.30908605277267687,0.4908651086957124,0.510205841671104,3.5523715007261663,3.641580917405646,0.5638056042630974,0.5753346603146295,0.5038599999999995,0.4592727394857752,0.5422588849447036,8754.120377063751,133.09191751480103,2736.9144768714905,0.0010000000000000009,0.0033333333333333366,0.0,0.0,-0.02200000000000002,-0.04400000000000004,0.0,0.0,-0.15044289513721854,-0.04184266014645657,0.0035571048627818236,0.0009893370487382106,-0.024590000000000334,-0.04918000000000067,0.0038599999999995305,0.007719999999999061
2,1.0,0.3,0.5,1.3927519389801444,0.0,0.5,0.23,0.525,1.367,0.664,0.20896226837847945,0.24975719666394822,0.5112335398767621,0.5398449574868373,1.3497647299262303,1.3842297297080652,0.6578675459626553,0.6696028196780168,0.4483760000000001,0.4316098706618996,0.463694108999698,0.296,0.494,1.396,0.675,0.2757586733666917,0.31420698440631695,0.4807372241815069,0.5091219946329215,1.3798331893721474,1.411346466690422,0.6685030470777731,0.6796902841930548,0.48860000000000015,0.4704605074411423,0.5016952734670088,2335.140742301941,183.27710151672363,1678.2852284908295,-0.06999999999999998,-0.23333333333333328,-0.0040000000000000036,-0.013333333333333346,0.025000000000000022,0.050000000000000044,-0.006000000000000005,-0.01200000000000001,-0.025751938980144384,-0.01848996814106142,0.0032480610198555304,0.0023321173921566777,-0.05162399999999989,-0.10324799999999978,-0.011399999999999855,-0.02279999999999971
3,1.0,0.3,0.5,1.5542952785891457,0.0,0.5,0.234,0.531,1.536,0.653,0.2151296148865226,0.2517639558942114,0.5166955359141486,0.5456498685803227,1.5173537205265406,1.5567168897321675,0.6477558009735341,0.6588822846091561,0.4700160000000002,0.45390582059069695,0.48808637831932744,0.296,0.505,1.575,0.663,0.2786026127721045,0.3134332956302834,0.4907248137513854,0.5194866551335395,1.555538626952828,1.5948817993582733,0.6583499068770595,0.6694966434463246,0.51345,0.49880220666273734,0.5339144268559226,1746.8063929080963,146.32306671142578,1387.8226964473724,-0.06599999999999998,-0.21999999999999992,-0.0040000000000000036,-0.013333333333333346,0.031000000000000028,0.062000000000000055,0.0050000000000000044,0.010000000000000009,-0.018295278589145703,-0.011770786954813739,0.02070472141085422,0.013320970407661644,-0.02998399999999979,-0.05996799999999958,0.013449999999999962,0.026899999999999924
4,1.0,0.3,0.5,2.339548645717877,0.0,0.5,0.28,0.494,2.245,0.606,0.26826267368574624,0.29499265082629045,0.48156970531166243,0.5062500177589988,2.211412407343669,2.2706164211681763,0.5996387205803928,0.6114847367977211,0.47594000000000003,0.44737785540596375,0.5005664682217676,0.302,0.495,2.33,0.609,0.2887142306037228,0.3155949737755038,0.48361461110413967,0.5071177175564311,2.2986618919552115,2.3554417650410553,0.6031541154093928,0.613875341370929,0.5079400000000001,0.4806981778077706,0.5306590907885291,5421.786844730377,164.46655321121216,2022.2843971252441,-0.019999999999999962,-0.06666666666666654,0.0020000000000000018,0.006666666666666673,-0.006000000000000005,-0.01200000000000001,-0.0050000000000000044,-0.010000000000000009,-0.09454864571787702,-0.040413199311299344,-0.009548645717877058,-0.004081405075869714,-0.02405999999999997,-0.04811999999999994,0.007940000000000058,0.015880000000000116
5,1.0,0.3,0.5,1.150795967430231,0.0,0.5,0.261,0.529,1.128,0.701,0.23590537791748795,0.2835004623502091,0.5140629652240881,0.545913474198838,1.1135668921373754,1.141802888608572,0.6963758017750282,0.7069311905176043,0.45345599999999986,0.44302380880446357,0.46683676580771527,0.317,0.512,1.156,0.712,0.2965632441171881,0.3402890775048772,0.49593429477923456,0.5292437993075992,1.1403716281585796,1.169898556906389,0.7070102709706718,0.7174865572106884,0.4901439999999999,0.47860774648419313,0.5028289202711116,1536.4646110534668,189.73760533332825,1489.5221152305603,-0.03899999999999998,-0.12999999999999995,0.017000000000000015,0.05666666666666672,0.029000000000000026,0.05800000000000005,0.01200000000000001,0.02400000000000002,-0.022795967430231157,-0.019808869752242334,0.005204032569768868,0.004522115750361605,-0.04654400000000014,-0.09308800000000028,-0.009856000000000087,-0.019712000000000174
6,1.0,0.3,0.5,1.05180508298725,0.0,0.5,0.233,0.511,1.029,0.726,0.2090340532001984,0.2597366712996391,0.49290903939109165,0.5302911086586953,1.0168459630843132,1.0413667206821033,0.7215996633804042,0.7310652000204945,0.46510799999999985,0.45605210723687173,0.4755321816421776,0.294,0.491,1.054,0.737,0.2645119019679916,0.3164887033913771,0.4722690600397037,0.5093605164257267,1.0400564896857611,1.0683220309571395,0.7322531051107594,0.7422541706754032,0.49959599999999993,0.48958954557348067,0.51067179178375,1288.8510165214539,222.7908160686493,5062.81395983696,-0.06699999999999998,-0.22333333333333327,-0.006000000000000005,-0.020000000000000018,0.01100000000000001,0.02200000000000002,-0.009000000000000008,-0.018000000000000016,-0.022805082987250147,-0.021681852803450075,0.002194917012749986,0.00208680966488217,-0.034892000000000145,-0.06978400000000029,-0.00040400000000007097,-0.0008080000000001419
7,1.0,0.3,0.5,1.1340389725078437,0.0,0.5,0.231,0.515,1.103,0.706,0.20766328067260126,0.2582188833805276,0.4992392528335021,0.5315035327833159,1.0897057168811404,1.1163307214485976,0.7016414387276184,0.7117580482337204,0.45443599999999984,0.4448210138331261,0.46713825440358714,0.293,0.495,1.131,0.718,0.26959887135073396,0.31435497974815735,0.4779406539052346,0.5108147813894718,1.1179802794795948,1.1444051385212228,0.7121442414185685,0.7226154540107577,0.4931159999999999,0.4798702740888019,0.5035561569723339,890.8697171211243,137.0959620475769,1190.7176327705383,-0.06899999999999998,-0.22999999999999993,-0.007000000000000006,-0.023333333333333355,0.015000000000000013,0.030000000000000027,-0.0050000000000000044,-0.010000000000000009,-0.03103897250784371,-0.027370287318436073,-0.0030389725078436847,-0.0026797778396656165,-0.04556400000000016,-0.09112800000000032,-0.006884000000000112,-0.013768000000000225
8,1.0,0.3,0.5,1.3360261563846996,0.0,0.5,0.238,0.539,1.315,0.677,0.21817696410399998,0.25858459830666564,0.5239262386538788,0.555454561721383,1.2991962675146094,1.3327020394184523,0.6710465679070022,0.68250366915607,0.4655100000000001,0.4498524735954159,0.4799846498804641,0.304,0.511,1.347,0.689,0.2839875307831481,0.32086647099828214,0.49447927481820886,0.5237343158660663,1.3305588373518165,1.3620065265629524,0.6837070829375073,0.6933629667804779,0.5091659999999998,0.4949068814336446,0.5209198325066076,2167.6791496276855,181.65427923202515,1247.0804052352905,-0.062,-0.20666666666666667,0.0040000000000000036,0.013333333333333346,0.039000000000000035,0.07800000000000007,0.01100000000000001,0.02200000000000002,-0.021026156384699624,-0.015737832889137902,0.010973843615300405,0.008213793991126445,-0.03448999999999991,-0.06897999999999982,0.009165999999999785,0.01833199999999957
9,1.0,0.3,0.5,0.9998068364632776,0.0,0.5,0.265,0.506,0.983,0.741,0.23476590235700567,0.2910390499014043,0.48766296988674346,0.5241106601158244,0.9724289248811321,0.9970424129609357,0.735884737194143,0.7452313972532143,0.47380600000000006,0.46374939332368526,0.48212492699981924,0.311,0.497,1.01,0.751,0.2853956617532894,0.33672089062687266,0.47937003964870917,0.5143662383943791,0.9978456720496267,1.0238342874641577,0.7463794407045199,0.7561533930751447,0.50702,0.4976864702231303,0.5174298540117923,692.6399574279785,130.48995351791382,809.6182770729065,-0.034999999999999976,-0.11666666666666659,0.01100000000000001,0.0366666666666667,0.006000000000000005,0.01200000000000001,-0.0030000000000000027,-0.006000000000000005,-0.01680683646327763,-0.016810083558470384,0.010193163536722394,0.010195132864643883,-0.02619399999999994,-0.05238799999999988,0.007020000000000026,0.014040000000000052
