sim_id,true_eta,tada_eta,tada_eta_hdi_3%,tada_eta_hdi_97%,addm_eta,addm_eta_hdi_3%,addm_eta_hdi_97%,true_kappa,tada_kappa,tada_kappa_hdi_3%,tada_kappa_hdi_97%,addm_kappa,addm_kappa_hdi_3%,addm_kappa_hdi_97%,true_a,tada_a,tada_a_hdi_3%,tada_a_hdi_97%,addm_a,addm_a_hdi_3%,addm_a_hdi_97%,true_x0,tada_x0,tada_x0_hdi_3%,tada_x0_hdi_97%,addm_x0,addm_x0_hdi_3%,addm_x0_hdi_97%
0,0.3,0.259,0.24397933392028534,0.27232494655794637,0.295,0.2792716679063494,0.3063250386159461,0.5,0.513,0.5001131923024227,0.5251091856378847,0.503,0.49045951408191657,0.5147758142572847,2.140826770376092,2.086,2.0618752528443647,2.113797396214421,2.161,2.1317332342582875,2.1868808073490116,0.5,0.4797799999999999,0.4571117212280349,0.5031334213146987,0.5143179999999998,0.48646850833368127,0.5363739034665094
1,0.3,0.301,0.2911575587350704,0.3110833498398372,0.3,0.29067538080368927,0.30908605277267687,0.5,0.478,0.4678788167066908,0.4871871830214244,0.5,0.4908651086957124,0.510205841671104,3.5954428951372184,3.445,3.4026189178798094,3.490837458488056,3.599,3.5523715007261663,3.641580917405646,0.5,0.47540999999999967,0.43937712967199527,0.5176591800371066,0.5038599999999995,0.4592727394857752,0.5422588849447036
2,0.3,0.23,0.20896226837847945,0.24975719666394822,0.296,0.2757586733666917,0.31420698440631695,0.5,0.525,0.5112335398767621,0.5398449574868373,0.494,0.4807372241815069,0.5091219946329215,1.3927519389801444,1.367,1.3497647299262303,1.3842297297080652,1.396,1.3798331893721474,1.411346466690422,0.5,0.4483760000000001,0.4316098706618996,0.463694108999698,0.48860000000000015,0.4704605074411423,0.5016952734670088
3,0.3,0.234,0.2151296148865226,0.2517639558942114,0.296,0.2786026127721045,0.3134332956302834,0.5,0.531,0.5166955359141486,0.5456498685803227,0.505,0.4907248137513854,0.5194866551335395,1.5542952785891457,1.536,1.5173537205265406,1.5567168897321675,1.575,1.555538626952828,1.5948817993582733,0.5,0.4700160000000002,0.45390582059069695,0.48808637831932744,0.51345,0.49880220666273734,0.5339144268559226
4,0.3,0.28,0.26826267368574624,0.29499265082629045,0.302,0.2887142306037228,0.3155949737755038,0.5,0.494,0.48156970531166243,0.5062500177589988,0.495,0.48361461110413967,0.5071177175564311,2.339548645717877,2.245,2.211412407343669,2.2706164211681763,2.33,2.2986618919552115,2.3554417650410553,0.5,0.47594000000000003,0.44737785540596375,0.5005664682217676,0.5079400000000001,0.4806981778077706,0.5306590907885291
5,0.3,0.261,0.23590537791748795,0.2835004623502091,0.317,0.2965632441171881,0.3402890775048772,0.5,0.529,0.5140629652240881,0.545913474198838,0.512,0.49593429477923456,0.5292437993075992,1.150795967430231,1.128,1.1135668921373754,1.141802888608572,1.156,1.1403716281585796,1.169898556906389,0.5,0.45345599999999986,0.44302380880446357,0.46683676580771527,0.4901439999999999,0.47860774648419313,0.5028289202711116
6,0.3,0.233,0.2090340532001984,0.2597366712996391,0.294,0.2645119019679916,0.3164887033913771,0.5,0.511,0.49290903939109165,0.5302911086586953,0.491,0.4722690600397037,0.5093605164257267,1.05180508298725,1.029,1.0168459630843132,1.0413667206821033,1.054,1.0400564896857611,1.0683220309571395,0.5,0.46510799999999985,0.45605210723687173,0.4755321816421776,0.49959599999999993,0.48958954557348067,0.51067179178375
7,0.3,0.231,0.20766328067260126,0.2582188833805276,0.293,0.26959887135073396,0.31435497974815735,0.5,0.515,0.4992392528335021,0.5315035327833159,0.495,0.4779406539052346,0.5108147813894718,1.1340389725078437,1.103,1.0897057168811404,1.1163307214485976,1.131,1.1179802794795948,1.1444051385212228,0.5,0.45443599999999984,0.4448210138331261,0.46713825440358714,0.4931159999999999,0.4798702740888019,0.5035561569723339
8,0.3,0.238,0.21817696410399998,0.25858459830666564,0.304,0.2839875307831481,0.32086647099828214,0.5,0.539,0.5239262386538788,0.555454561721383,0.511,0.49447927481820886,0.5237343158660663,1.3360261563846996,1.315,1.2991962675146094,1.3327020394184523,1.347,1.3305588373518165,1.3620065265629524,0.5,0.4655100000000001,0.4498524735954159,0.4799846498804641,0.5091659999999998,0.4949068814336446,0.5209198325066076
9,0.3,0.265,0.23476590235700567,0.2910390499014043,0.311,0.2853956617532894,0.33672089062687266,0.5,0.506,0.48766296988674346,0.5241106601158244,0.497,0.47937003964870917,0.5143662383943791,0.9998068364632776,0.983,0.9724289248811321,0.9970424129609357,1.01,0.9978456720496267,1.0238342874641577,0.5,0.47380600000000006,0.46374939332368526,0.48212492699981924,0.50702,0.4976864702231303,0.5174298540117923
