sim_id,true_eta,tada_eta,tada_eta_hdi_3%,tada_eta_hdi_97%,addm_eta,addm_eta_hdi_3%,addm_eta_hdi_97%,true_kappa,tada_kappa,tada_kappa_hdi_3%,tada_kappa_hdi_97%,addm_kappa,addm_kappa_hdi_3%,addm_kappa_hdi_97%,true_a,tada_a,tada_a_hdi_3%,tada_a_hdi_97%,addm_a,addm_a_hdi_3%,addm_a_hdi_97%,true_x0,tada_x0,tada_x0_hdi_3%,tada_x0_hdi_97%,addm_x0,addm_x0_hdi_3%,addm_x0_hdi_97%
0,0.3,0.252,0.23708668382093706,0.26635373301827486,0.293,0.2774579848624026,0.30540085112948234,0.5229543176249873,0.538,0.526423048073894,0.550635606745897,0.525,0.5125028124916597,0.5371110514931147,2.0,1.954,1.931620605241123,1.9770325754503568,2.024,1.9974672205251092,2.0490276742455817,0.5,0.4650519999999998,0.4399304650995479,0.48559719437431803,0.5060000000000002,0.4812048880143074,0.5289133660606478
1,0.3,0.254,0.2439787988538599,0.2638654470537669,0.299,0.2897921501861902,0.30826400946277716,1.0792663404301215,1.109,1.0884517598505237,1.131191339938146,1.097,1.075298847686502,1.11757367851307,2.0,1.952,1.9248899952963696,1.9816306827691414,2.022,1.995672559643484,2.0528581587141392,0.5,0.45676799999999984,0.4378345734727698,0.47466270196275007,0.5055000000000001,0.48632626243500443,0.5237681567077535
2,0.3,0.304,0.2815212493777311,0.33125131977945177,0.313,0.290450320641142,0.33174064018156546,0.27451599083423217,0.277,0.26797741393529045,0.28711055230511234,0.279,0.26938020681738667,0.2868721921578298,2.0,1.972,1.9533007265591595,1.9962413424972483,2.009,1.986495123561754,2.0315653366717865,0.5,0.46933599999999975,0.4456615257396015,0.4962894912051783,0.4861779999999998,0.46018967081825846,0.5083916116423319
3,0.3,0.281,0.2597652401707989,0.3016429692794998,0.301,0.27840951947831744,0.31964752243031913,0.3250583646742278,0.323,0.31366429948519503,0.3338133133516158,0.323,0.31259595235601234,0.3323348567656095,2.0,1.966,1.9430717897692698,1.9884385360485644,2.012,1.9871229348665327,2.035568114783567,0.5,0.48363599999999995,0.4596102635265187,0.5071674566418574,0.5030000000000001,0.479514106428808,0.5255809001380403
4,0.3,0.243,0.22893951764681134,0.2568599038955339,0.288,0.2765583432598281,0.30321760683538945,0.5941847403821459,0.608,0.592686176279491,0.6216167953375846,0.587,0.5733221899351407,0.600978910770286,2.0,1.934,1.9098111109731535,1.9598705093117004,2.0,1.9750009247272122,2.024371239863621,0.5,0.47189599999999987,0.45248609182514454,0.4932383012988446,0.508,0.4880406142395257,0.5322135012806628
5,0.3,0.315,0.2869226957349573,0.34430399306870896,0.314,0.28790931675612136,0.342043505276933,0.20290062946884058,0.213,0.20438808014453574,0.2205100382993035,0.217,0.20812013942783836,0.22406277392376112,2.0,1.976,1.9558543847070162,1.995897535988601,2.005,1.9830409318304911,2.025298251604703,0.5,0.47028800000000004,0.4433196026982631,0.49279078683092825,0.48119999999999985,0.45636247787397677,0.5041182427228632
6,0.3,0.319,0.28578037108790433,0.35236624257965343,0.308,0.27703281800844004,0.3445923156586139,0.17523980289680985,0.169,0.16026436014927017,0.17602510948609792,0.173,0.16510653590735064,0.18154576936093186,2.0,1.98,1.9588973010479143,1.9989553948075522,2.001,1.9813726455922644,2.022957974785372,0.5,0.4870800000000002,0.46291804943763193,0.510994551462681,0.496248,0.47542559044637445,0.5243367641919177
7,0.3,0.333,0.3014552265838411,0.36619561979477205,0.322,0.29342129241910586,0.3489620270022507,0.19814571444897175,0.191,0.18369835850860441,0.199097739615817,0.195,0.18676209442499328,0.2025354187182133,2.0,1.991,1.9706602825658415,2.0105686357925445,2.014,1.993952182506394,2.0350119906678183,0.5,0.48978600000000005,0.46723293064131655,0.5152080674216073,0.4994719999999999,0.47521946404806714,0.5277153988490952
8,0.3,0.305,0.2811565575690189,0.3342306534808065,0.31,0.2882093348428979,0.3337253093231954,0.2572590376843348,0.247,0.23754247559986827,0.25681893334615785,0.249,0.24037630883352756,0.25746607851804837,2.0,1.966,1.9462765759386766,1.9884106879085783,2.0,1.977793525112951,2.021403514973313,0.5,0.49936400000000014,0.4741618353960264,0.5216388120544078,0.516,0.48988653072097943,0.5363091366351957
9,0.3,0.311,0.27422246486326574,0.3496998942502464,0.293,0.25940601332965635,0.3311218827752884,0.1611430661886762,0.161,0.1521206797465518,0.16905302381674378,0.166,0.1582375955772637,0.1747002177589831,2.0,1.982,1.9603215621627226,2.001402224085714,2.002,1.9829656583641826,2.022977951477583,0.5,0.48360800000000004,0.45603767692647046,0.5060888552327609,0.49649600000000005,0.4696989124713924,0.5178282864424184
