sim_id,true_eta,tada_eta,tada_eta_hdi_3%,tada_eta_hdi_97%,addm_eta,addm_eta_hdi_3%,addm_eta_hdi_97%,true_kappa,tada_kappa,tada_kappa_hdi_3%,tada_kappa_hdi_97%,addm_kappa,addm_kappa_hdi_3%,addm_kappa_hdi_97%,true_a,tada_a,tada_a_hdi_3%,tada_a_hdi_97%,addm_a,addm_a_hdi_3%,addm_a_hdi_97%,true_x0,tada_x0,tada_x0_hdi_3%,tada_x0_hdi_97%,addm_x0,addm_x0_hdi_3%,addm_x0_hdi_97%
0,0.3,0.268,0.25233170541913214,0.2830013239420594,0.305,0.2903894734216765,0.31870079034908655,0.5,0.505,0.49392905351198557,0.518560725367899,0.495,0.4847815887892577,0.5078873747386297,2.0,1.921,1.8987351756456547,1.9434727146888953,1.987,1.9662093353287156,2.012120475626606,-0.30180789244006667,-0.276624,-0.2982406301500533,-0.2508353520425042,-0.29805000000000015,-0.32027360303188246,-0.2759314240823112
1,0.3,0.249,0.23310895592220682,0.26457732949527096,0.288,0.27441034094445993,0.3045406521768352,0.5,0.511,0.49879225549824185,0.5245820217024949,0.5,0.4884847446030289,0.5123485995369486,2.0,1.944,1.9221824072868325,1.9714029702117464,2.009,1.9852169552340952,2.0328763522923645,0.6805088250372497,0.6259680000000003,0.6017599664386251,0.6456616999700739,0.6790419999999999,0.659415670666347,0.7012650010630077
2,0.3,0.246,0.23068935292027204,0.26121753967503225,0.289,0.2760834677920427,0.3033141836148245,0.5,0.514,0.5013967961931666,0.5259206169137419,0.499,0.4874337001391355,0.5097833486967803,2.0,1.956,1.932976995600839,1.9803742229276622,2.021,1.9970968638762325,2.0447456760752845,-0.19889653211649239,-0.1995119999999999,-0.22296469454888523,-0.1773880244721162,-0.21422600000000003,-0.23824998114785467,-0.1915592682027527
3,0.3,0.266,0.25184520480864375,0.2803704394487981,0.302,0.28809731432596125,0.3160188901970176,0.5,0.511,0.49694336733688815,0.5224992627481019,0.503,0.492790623971431,0.5161262625847876,2.0,1.938,1.914452803784946,1.960557840532533,2.008,1.9843405613221423,2.0315880276519054,-0.38902463304573565,-0.35271600000000003,-0.374570402186448,-0.3297011549699962,-0.3895519999999999,-0.41421963588889366,-0.36895478169393203
4,0.3,0.273,0.2571882074940036,0.2885689068161232,0.31,0.29571449215428824,0.3253498003087268,0.5,0.512,0.5009777970428123,0.5259724621152642,0.505,0.49281457763198455,0.5181701640643657,2.0,1.938,1.9137611353646198,1.9593539593508993,2.007,1.984214864845537,2.029832976856728,-0.12318048990321917,-0.09689999999999999,-0.12039722476183123,-0.07620358615519351,-0.11239200000000005,-0.13402938048391455,-0.0893102062050708
5,0.3,0.255,0.240889027638096,0.2704666238417023,0.295,0.2790153094265483,0.3099577030186715,0.5,0.508,0.4958300523159797,0.5200631982893826,0.498,0.4859554106254754,0.5083242339506138,2.0,1.945,1.9216555622857598,1.9675288956700983,2.01,1.984723707199023,2.0343719783442262,-0.6457431381046559,-0.5951700000000002,-0.6205720194475364,-0.5759723418775273,-0.6431999999999998,-0.6643284437397574,-0.6209318695966595
6,0.3,0.309,0.28966441663219056,0.3261773986598212,0.301,0.2820293599333897,0.31866870690877996,0.5,0.466,0.45236077342275327,0.4794653051893374,0.494,0.4809450512335027,0.5093008732385177,2.0,1.903,1.8709698880966026,1.9290024929871337,1.998,1.9688475249463018,2.031089600584516,-1.3833603131586232,-1.271204,-1.2861570336289159,-1.2583774245221302,-1.37862,-1.3929238696009911,-1.365285710561862
8,0.3,0.306,0.2844084893597005,0.32951683608722265,0.291,0.2734070877255754,0.3087269001942223,0.5,0.462,0.4462690982683224,0.4766931183509797,0.496,0.4811859138775834,0.5094332690529363,2.0,1.873,1.8439366397935506,1.904585754848757,1.979,1.9444596329863832,2.009603686446788,1.4713009920665008,1.318592,1.3073913437088514,1.3325410313857369,1.436754,1.4228843731857088,1.4462928105538437
9,0.3,0.289,0.2714601722084932,0.3076564622762977,0.299,0.2821269947107958,0.3147771802410442,0.5,0.49,0.47441318589312137,0.5037720221770167,0.505,0.4904516246839783,0.5182199144110526,2.0,1.901,1.8726325564094,1.934899827748068,1.992,1.9665655906097077,2.024783367277776,-1.282605114829443,-1.1634120000000001,-1.1799629955210653,-1.1489190842896337,-1.266912,-1.2808458943317604,-1.2527575846931764
10,0.3,0.265,0.25033406941627784,0.2801602940109463,0.303,0.2883911450067534,0.3180972160959858,0.5,0.512,0.49997158932290936,0.5245032209760585,0.499,0.4876257023094708,0.5109121848624637,2.0,1.954,1.9298106936623747,1.9777905908323545,2.015,1.9930602343392403,2.038603833086291,-0.5196264468365419,-0.49240799999999996,-0.5133821765584232,-0.467527547365326,-0.52793,-0.5481031659931299,-0.5057141367017375
