sim_id,true_eta,true_kappa,true_a,true_sigma,true_b,true_x0,tada_eta,tada_kappa,tada_a,tada_z,tada_x0,addm_eta,addm_kappa,addm_a,addm_x0_raw,addm_x0,time_data_simulation,time_tada_inference,time_addm_inference,tada_eta_error,tada_eta_rel_error,addm_eta_error,addm_eta_rel_error,tada_kappa_error,tada_kappa_rel_error,addm_kappa_error,addm_kappa_rel_error,tada_a_error,tada_a_rel_error,addm_a_error,addm_a_rel_error,tada_x0_error,tada_x0_rel_error,addm_x0_error,addm_x0_rel_error
0,0.42454802688998333,0.45930389507678443,1.8172944503135793,1.0,0.0,0.49859355651831594,0.384,0.469,1.76,0.64,0.4928000000000001,0.42,0.46,1.8,0.645,0.522,483.33067750930786,41.004096031188965,243.22806668281555,-0.040548026889983324,-0.0955086923545893,-0.004548026889983348,-0.010712632262832105,0.009696104923215543,0.02111043478434815,0.0006961049232155903,0.0015155650336891187,-0.05729445031357927,-0.03152733466153102,-0.017294450313579235,-0.009516592267474887,-0.005793556518315812,-0.01161979821554911,0.02340644348168408,0.046944937766808546
1,0.6701272062593124,0.7433213271637947,1.4937396611134868,1.0,0.0,-0.22434381430784334,0.622,0.736,1.507,0.422,-0.23509200000000008,0.658,0.724,1.525,0.42,-0.244,313.06902265548706,39.26911926269531,206.860933303833,-0.04812720625931244,-0.07181801575847248,-0.012127206259312406,-0.0180968719760046,-0.007321327163794744,-0.009849478141209652,-0.019321327163794755,-0.0259932366497769,0.013260338886513123,0.00887727576077641,0.03126033888651314,0.020927568371057758,-0.010748185692156742,0.047909436350262555,-0.019656185692156658,0.0876163479381007
2,0.4502758669708769,0.14174791807751333,1.8111414894710778,1.0,0.0,-0.0163536938745652,0.4,0.124,1.781,0.512,0.042744000000000115,0.397,0.124,1.786,0.512,0.04286400000000001,717.3318538665771,35.25095248222351,275.2384548187256,-0.05027586697087688,-0.11165569966939543,-0.053275866970876884,-0.11831828192187498,-0.01774791807751333,-0.12520761022964777,-0.01774791807751333,-0.12520761022964777,-0.030141489471077865,-0.016642261052658192,-0.02514148947107775,-0.013881571162295013,0.059097693874565316,-3.6137214214630493,0.059217693874565214,-3.62105921321336
3,0.4027438417385661,0.47124160738783333,2.7867080552044623,1.0,0.0,-0.3001230413319771,0.427,0.481,2.782,0.44,-0.3338399999999999,0.436,0.49,2.858,0.438,-0.3543919999999998,1180.997737646103,38.55117082595825,369.98371410369873,0.024256158261433902,0.06022726047585192,0.03325615826143391,0.08257397088400807,0.009758392612166655,0.02070783322011604,0.018758392612166663,0.039806316585981015,-0.004708055204462269,-0.0016894684018548317,0.0712919447955378,0.02558285381290401,-0.03371695866802282,0.11234378579659687,-0.054268958668022726,0.18082236681053035
4,0.4692048775241952,1.2187532979717564,2.393997054866691,1.0,0.0,1.4913184440129372,0.436,1.172,2.269,0.798,1.3523240000000003,0.458,1.209,2.387,0.809,1.4751660000000002,441.9867434501648,43.693031311035156,401.89484906196594,-0.03320487752419521,-0.07076839801709639,-0.01120487752419519,-0.02388056488951864,-0.046753297971756425,-0.038361576579577714,-0.00975329797175628,-0.008002684372618868,-0.12499705486669077,-0.052212702021745466,-0.006997054866690888,-0.0029227499893814688,-0.13899444401293692,-0.09320239052292653,-0.01615244401293703,-0.010830982529440845
5,0.338564215473836,0.5300215471399147,2.0208084848244408,1.0,0.0,-0.7500874024218989,0.298,0.505,1.947,0.312,-0.7320720000000001,0.332,0.497,2.001,0.305,-0.7803899999999999,530.3705425262451,37.58903479576111,264.4136667251587,-0.04056421547383604,-0.11981247166675478,-0.00656421547383601,-0.0193883912528945,-0.02502154713991467,-0.04720854703914424,-0.033021547139914675,-0.06230227302664296,-0.07380848482444069,-0.036524235413061844,-0.019808484824440864,-0.009802257350558254,0.018015402421898807,-0.024017737617949956,-0.030302597578101054,0.04039875550537091
6,0.15415992171034418,0.27131345309123306,1.342454159977296,1.0,0.0,-0.45150201992221684,0.083,0.285,1.316,0.344,-0.41059200000000007,0.143,0.266,1.337,0.335,-0.4412099999999999,367.8466749191284,44.40100812911987,230.82244682312012,-0.07115992171034417,-0.46159806596197384,-0.01115992171034419,-0.07239184858508757,0.013686546908766917,0.05044551515167447,-0.005313453091233045,-0.01958418585843703,-0.026454159977295832,-0.01970581995719186,-0.005454159977295925,-0.004062827722466269,0.04091001992221677,-0.09060871960055594,0.010292019922216955,-0.02279506949711992
7,0.13209579190161191,0.5484725075936137,2.623211287779385,1.0,0.0,-1.788613589912362,0.131,0.521,2.415,0.175,-1.56975,0.142,0.56,2.631,0.159,-1.7943419999999999,531.8809115886688,40.94500207901001,446.9057698249817,-0.0010957919016119089,-0.008295433835076901,0.009904208098388073,0.07497746866732108,-0.027472507593613638,-0.05008912427378981,0.011527492406386397,0.021017447997462073,-0.20821128777938513,-0.07937267148451517,0.007788712220614613,0.0029691516870560416,0.2188635899123621,-0.12236493737201555,-0.005728410087637803,0.0032027096964629916
8,0.8678252480166252,0.21708658904620473,2.6343802264161655,1.0,0.0,-0.23207414276994198,0.876,0.212,2.566,0.467,-0.16935600000000006,0.864,0.213,2.568,0.467,-0.16948799999999986,1207.6460695266724,31.23460078239441,335.8613986968994,0.008174751983374806,0.00941981349592885,-0.0038252480166252045,-0.004407855182097587,-0.005086589046204737,-0.023431152834236604,-0.004086589046204736,-0.018824696007982998,-0.0683802264161657,-0.02595685532805216,-0.06638022641616548,-0.0251976634771776,0.06271814276994192,-0.2702504553991403,0.06258614276994212,-0.26968167165432366
9,0.17934872129263923,0.12563509234620082,3.2112840956272386,1.0,0.0,-0.8298705188152962,0.2,0.122,3.176,0.37,-0.8257600000000003,0.153,0.13,3.228,0.371,-0.832824,2614.871006965637,57.17069602012634,435.8349778652191,0.020651278707360776,0.11514594895641633,-0.026348721292639238,-0.14691334904834158,-0.0036350923462008244,-0.02893373402539429,0.004364907653799183,0.03474274243195696,-0.03528409562723844,-0.01098753476071591,0.016715904372761603,0.005205364544209408,0.004110518815295894,-0.004953205014637675,-0.0029534811847038434,0.0035589662697262272
10,0.3700933882908645,0.1851206362006205,1.6073263941968363,1.0,0.0,-0.15224029825718488,0.338,0.182,1.6,0.451,-0.15680000000000005,0.368,0.178,1.607,0.451,-0.15748600000000001,547.3990013599396,38.679479122161865,191.7955367565155,-0.0320933882908645,-0.08671699983367874,-0.0020933882908645285,-0.005656378517141432,-0.0031206362006205024,-0.016857311343931317,-0.007120636200620506,-0.038464842962746035,-0.007326394196836228,-0.004558124736386941,-0.00032639419683633264,-0.00020306653210869986,-0.00455970174281517,0.02995068845117674,-0.005245701742815134,0.0344567227131504
11,0.7222545135329691,1.0215167565801244,1.0327252561558449,1.0,0.0,-0.22143961433680193,0.713,1.038,1.019,0.407,-0.1895340000000001,0.721,1.041,1.029,0.402,-0.20168399999999997,179.33484172821045,41.400168657302856,135.9276306629181,-0.009254513532969133,-0.01281336891575782,-0.001254513532969126,-0.0017369410775054444,0.016483243419875615,0.016136048002833445,0.019483243419875507,0.019072857390124764,-0.013725256155844967,-0.013290326806700791,-0.003725256155844958,-0.003607209307257218,0.031905614336801835,-0.14408268562225054,0.019755614336801952,-0.08921445422477277
12,0.6900793200429938,0.7747347509510185,0.7128294413825607,1.0,0.0,0.19071210517929582,0.668,0.84,0.715,0.629,0.18447000000000002,0.688,0.827,0.716,0.63,0.18616,80.68998193740845,38.22060585021973,71.90879344940186,-0.022079320042993733,-0.03199533648047609,-0.0020793200429938263,-0.003013160925999462,0.06526524904898146,0.0842420569993352,0.052265249048981444,0.0674621204029169,0.002170558617439311,0.003044990135690001,0.003170558617439312,0.004447850261753905,-0.006242105179295798,-0.03273051374178558,-0.004552105179295829,-0.023868989202422253
13,0.6626854870021712,1.0053208202170136,1.8721980345071056,1.0,0.0,-1.3577151014828215,0.654,0.953,1.839,0.14,-1.32408,0.653,0.979,1.888,0.135,-1.37824,324.5962026119232,42.844249963760376,296.6952188014984,-0.0086854870021712,-0.013106499497163037,-0.0096854870021712,-0.01461551096582181,-0.052320820217013675,-0.05204390396064754,-0.026320820217013652,-0.026181513092837276,-0.03319803450710568,-0.017732116953026147,0.015801965492894254,0.008440328000373339,0.03363510148282156,-0.02477331322755942,-0.020524898517178425,0.015117235195190997
15,0.2104893240667567,0.10884482460101236,2.9707771667441136,1.0,0.0,1.0631299408307813,0.274,0.098,2.897,0.67,0.9849800000000002,0.196,0.108,2.932,0.673,1.014472,1753.7272748947144,50.946128845214844,447.3580734729767,0.06351067593324333,0.30172872764369235,-0.014489324066756681,-0.06883638460524198,-0.010844824601012354,-0.0996356477284588,-0.0008448246010123589,-0.007761734231362814,-0.07377716674411383,-0.02483429843543987,-0.03877716674411369,-0.013052869524580448,-0.07814994083078108,-0.07350930288889328,-0.04865794083078123,-0.045768573494184124
16,0.4164518597981898,0.19527855010821382,1.8740201227086928,1.0,0.0,0.9784915096813913,0.511,0.19,1.845,0.742,0.8929799999999999,0.476,0.199,1.863,0.744,0.909144,585.1990311145782,36.65605878829956,255.94404554367065,0.09454814020181018,0.2270325800625015,0.05954814020181015,0.14298925266096024,-0.00527855010821382,-0.027030875153920927,0.0037214498917861882,0.019057136022998647,-0.029020122708692808,-0.015485491514758854,-0.011020122708692792,-0.0058804719197808825,-0.08551150968139143,-0.08739116163535748,-0.06934750968139136,-0.07087185631684403
17,0.23957323399869268,0.8678195084421285,2.5036251603987307,1.0,0.0,1.7331619993763874,0.193,0.814,2.271,0.821,1.457982,0.217,0.848,2.465,0.84,1.6761999999999997,339.51030802726746,35.899362564086914,279.67474126815796,-0.046573233998692676,-0.19440082358677355,-0.022573233998692682,-0.09422268765974025,-0.05381950844212857,-0.062016937760183556,-0.01981950844212854,-0.022838284054834918,-0.23262516039873082,-0.09291533096818799,-0.03862516039873087,-0.015427693014787957,-0.2751799993763875,-0.1587733861435922,-0.056961999376387684,-0.03286594063156433
31,0.7175212889724174,0.4168403075228916,4.817770096055736,1.0,0.0,-2.123117992714901,0.721,0.425,4.858,0.268,-2.2541119999999997,0.719,0.429,4.895,0.267,-2.2810699999999997,2701.1634526252747,38.08960509300232,548.0369927883148,0.0034787110275825706,0.004848233886641233,0.0014787110275825688,0.002060860144930714,0.008159692477108405,0.019575104254188038,0.012159692477108408,0.02917110523540393,0.04022990394426351,0.00835031625465054,0.07722990394426343,0.016030217798788455,-0.13099400728509858,0.061698882367622075,-0.15795200728509862,0.07439624544047134
38,0.3696685178110136,0.5459170733899671,1.3821968133523916,1.0,0.0,1.0326389990683844,0.431,0.504,1.279,0.859,0.9183219999999999,0.385,0.541,1.331,0.866,0.9742920000000002,149.1563103199005,41.80153560638428,221.70291662216187,0.061331482188986375,0.16590940054121944,0.01533148218898639,0.04147359445097333,-0.041917073389967086,-0.07678285848375417,-0.004917073389967053,-0.009006996904188451,-0.10319681335239173,-0.07466144644198486,-0.05119681335239168,-0.037040176086225014,-0.11431699906838455,-0.11070373980792696,-0.05834699906838425,-0.05650280409806636
78,0.23381610026160332,0.546254508150492,2.2901803575454847,1.0,0.0,0.020528033600716533,0.172,0.567,2.202,0.51,0.04403999999999986,0.207,0.558,2.302,0.512,0.055248000000000186,624.5799243450165,38.111104011535645,293.495290517807,-0.061816100261603335,-0.2643791432345372,-0.02681610026160333,-0.11468885261365812,0.020745491849507913,0.037977703689344326,0.011745491849508016,0.021501867122846987,-0.0881803575454847,-0.038503673850382926,0.011819642454515389,0.005161009444331784,0.023511966399283324,1.145358920226175,0.03471996639928365,1.691343996926805
85,0.24151498730522733,0.9008659293880621,4.046037389728416,1.0,0.0,-3.5631471271104678,0.235,0.769,3.468,0.077,-2.933928,0.237,0.861,3.896,0.066,-3.381728,476.50077652931213,44.49418044090271,435.90244698524475,-0.006514987305227343,-0.026975499027700852,-0.0045149873052273415,-0.018694439444957873,-0.13186592938806208,-0.1463768637333589,-0.039865929388062105,-0.044252899446582616,-0.5780373897284159,-0.1428650637771827,-0.15003738972841596,-0.03708255146364008,0.6292191271104679,-0.17659083519818974,0.18141912711046793,-0.05091541848781015
87,0.33644725127976066,0.6427045356738668,2.4578598326717604,1.0,0.0,-1.5510664102602538,0.304,0.605,2.283,0.195,-1.39263,0.318,0.628,2.411,0.183,-1.5285739999999999,537.5338475704193,41.91751146316528,381.60654306411743,-0.03244725127976067,-0.09644082736993538,-0.018447251279760657,-0.054829549683024476,-0.03770453567386678,-0.058665426461218445,-0.014704535673866759,-0.022879153417595315,-0.17485983267176053,-0.07114312636847282,-0.046859832671760415,-0.019065299025137046,0.1584364102602538,-0.10214676122969467,0.022492410260253948,-0.0145012554662182
88,0.5789584358691732,0.49283876152009726,2.6841555369130847,1.0,0.0,-1.9952838672441762,0.592,0.47,2.676,0.129,-1.985592,0.587,0.483,2.734,0.126,-2.045032,648.3624613285065,42.42476272583008,1898.5227222442627,0.0130415641308268,0.022525907427616777,0.008041564130826795,0.01388970888515379,-0.022838761520097284,-0.046341244446062003,-0.009838761520097272,-0.01996344907967646,-0.008155536913084571,-0.0030383995267516625,0.04984446308691526,0.01856988628320657,0.009691867244176144,-0.004857387664624508,-0.04974813275582379,0.02493285971611366
111,0.2931373431022592,0.5726679102991366,0.7568358972534892,1.0,0.0,-0.2255311242599426,0.277,0.61,0.748,0.36,-0.20944000000000007,0.322,0.589,0.755,0.354,-0.22046,74.51224327087402,35.25469183921814,81.12822151184082,-0.016137343102259172,-0.0550504515442434,0.028862656897740813,0.09846120795217908,0.037332089700863436,0.06518977059734811,0.016332089700863417,0.028519303084980352,-0.008835897253489211,-0.011674786153186097,-0.0018358972534892049,-0.0024257534032827498,0.016091124259942524,-0.07134768787564869,0.005071124259942605,-0.02248525243060346
112,0.7821729426755875,0.2392103733985619,1.1841102068200848,1.0,0.0,0.2403210989210538,0.679,0.266,1.239,0.61,0.27258000000000004,0.708,0.262,1.242,0.61,0.2732399999999999,250.03125834465027,45.75516319274902,135.94545245170593,-0.10317294267558741,-0.13190553782474576,-0.0741729426755875,-0.09482933840930793,0.026789626601438105,0.11199190996956639,0.0227896266014381,0.09527022711288116,0.05488979317991527,0.0463553078621974,0.05788979317991516,0.048888855823122725,0.032258901078946245,0.13423249653807295,0.03291890107894613,0.13697882219554966
113,0.800313873962777,0.4209916413866356,3.020463902882438,1.0,0.0,0.4663048799685501,0.796,0.438,2.989,0.57,0.4184599999999996,0.791,0.442,3.002,0.57,0.42027999999999954,1169.9323453903198,32.3492431640625,406.7468752861023,-0.004313873962776937,-0.005390227638334779,-0.009313873962776942,-0.011637776459702029,0.017008358613364416,0.04040070381764199,0.02100835861336442,0.04990208010821407,-0.031463902882438166,-0.010416910744211201,-0.018463902882438266,-0.006112936117136876,-0.04784487996855047,-0.1026042875034406,-0.046024879968550536,-0.09870126165450956
115,0.32205482671968894,0.560916060021516,1.1794276580262515,1.0,0.0,-0.015361262784304497,0.26,0.617,1.145,0.499,-0.0022899999999999032,0.359,0.555,1.151,0.501,0.0023020000000000262,241.8702518939972,48.41319227218628,141.0213565826416,-0.06205482671968893,-0.19268404498622962,0.03694517328031105,0.11471703019209056,0.05608393997848404,0.0999863330287472,-0.005916060021515901,-0.010547139658096024,-0.03442765802625147,-0.02919013963422349,-0.028427658026251468,-0.02410292639213208,0.013071262784304594,-0.8509237142704354,0.017663262784304523,-1.1498574715063214
121,0.6465531758655814,1.0444722057260898,2.0909780567128613,1.0,0.0,0.525176574830323,0.624,1.018,2.039,0.617,0.47712600000000016,0.645,1.024,2.088,0.621,0.505296,412.11294317245483,62.7664053440094,297.31872940063477,-0.022553175865581365,-0.03488216701648401,-0.0015531758655813466,-0.0024022399449233427,-0.02647220572608977,-0.02534505521636833,-0.020472205726089765,-0.01960052705457875,-0.051978056712861154,-0.024858250686080212,-0.002978056712861221,-0.0014242410164470587,-0.04805057483032282,-0.09149413194190406,-0.019880574830323017,-0.03785502968548463
123,0.5729480521781338,0.9280203991584811,1.8222864874358529,1.0,0.0,-0.5110088749027055,0.549,0.954,1.814,0.369,-0.475268,0.576,0.949,1.851,0.367,-0.4923660000000001,330.4641537666321,36.238723278045654,223.85642886161804,-0.023948052178133783,-0.04179794675467045,0.00305194782186613,0.0053267443885423255,0.025979600841518846,0.02799464415337946,0.020979600841518842,0.022606831552994866,-0.008286487435852807,-0.004547302245275802,0.028713512564147115,0.015756859726568033,0.0357408749027055,-0.06994178899438967,0.018642874902705442,-0.036482487522853664
128,0.3345128765341766,0.6356528106858743,2.372261677969319,1.0,0.0,-1.7614508219083824,0.33,0.605,2.255,0.143,-1.61007,0.334,0.644,2.427,0.13,-1.7959800000000001,366.91708040237427,33.8652081489563,406.7777678966522,-0.004512876534176591,-0.013490890338613074,-0.0005128765341765873,-0.0015332041608992818,-0.030652810685874332,-0.048222567682505345,0.008347189314125703,0.013131680020605935,-0.11726167796931897,-0.049430330160581695,0.054738322030681186,0.02307431871408797,0.15138082190838253,-0.08594098684195695,-0.03452917809161771,0.01960269208890446
