sim_id,true_eta,tada_eta,addm_eta,true_kappa,tada_kappa,addm_kappa,true_a,tada_a,addm_a,true_x0,tada_x0,addm_x0
0,0.42454802688998333,0.384,0.42,0.45930389507678443,0.469,0.46,1.8172944503135793,1.76,1.8,0.49859355651831594,0.4928000000000001,0.522
1,0.6701272062593124,0.622,0.658,0.7433213271637947,0.736,0.724,1.4937396611134868,1.507,1.525,-0.22434381430784334,-0.23509200000000008,-0.244
2,0.4502758669708769,0.4,0.397,0.14174791807751333,0.124,0.124,1.8111414894710778,1.781,1.786,-0.0163536938745652,0.042744000000000115,0.04286400000000001
3,0.4027438417385661,0.427,0.436,0.47124160738783333,0.481,0.49,2.7867080552044623,2.782,2.858,-0.3001230413319771,-0.3338399999999999,-0.3543919999999998
4,0.4692048775241952,0.436,0.458,1.2187532979717564,1.172,1.209,2.393997054866691,2.269,2.387,1.4913184440129372,1.3523240000000003,1.4751660000000002
5,0.338564215473836,0.298,0.332,0.5300215471399147,0.505,0.497,2.0208084848244408,1.947,2.001,-0.7500874024218989,-0.7320720000000001,-0.7803899999999999
6,0.15415992171034418,0.083,0.143,0.27131345309123306,0.285,0.266,1.342454159977296,1.316,1.337,-0.45150201992221684,-0.41059200000000007,-0.4412099999999999
7,0.13209579190161191,0.131,0.142,0.5484725075936137,0.521,0.56,2.623211287779385,2.415,2.631,-1.788613589912362,-1.56975,-1.7943419999999999
8,0.8678252480166252,0.876,0.864,0.21708658904620473,0.212,0.213,2.6343802264161655,2.566,2.568,-0.23207414276994198,-0.16935600000000006,-0.16948799999999986
9,0.17934872129263923,0.2,0.153,0.12563509234620082,0.122,0.13,3.2112840956272386,3.176,3.228,-0.8298705188152962,-0.8257600000000003,-0.832824
10,0.3700933882908645,0.338,0.368,0.1851206362006205,0.182,0.178,1.6073263941968363,1.6,1.607,-0.15224029825718488,-0.15680000000000005,-0.15748600000000001
11,0.7222545135329691,0.713,0.721,1.0215167565801244,1.038,1.041,1.0327252561558449,1.019,1.029,-0.22143961433680193,-0.1895340000000001,-0.20168399999999997
12,0.6900793200429938,0.668,0.688,0.7747347509510185,0.84,0.827,0.7128294413825607,0.715,0.716,0.19071210517929582,0.18447000000000002,0.18616
13,0.6626854870021712,0.654,0.653,1.0053208202170136,0.953,0.979,1.8721980345071056,1.839,1.888,-1.3577151014828215,-1.32408,-1.37824
15,0.2104893240667567,0.274,0.196,0.10884482460101236,0.098,0.108,2.9707771667441136,2.897,2.932,1.0631299408307813,0.9849800000000002,1.014472
16,0.4164518597981898,0.511,0.476,0.19527855010821382,0.19,0.199,1.8740201227086928,1.845,1.863,0.9784915096813913,0.8929799999999999,0.909144
17,0.23957323399869268,0.193,0.217,0.8678195084421285,0.814,0.848,2.5036251603987307,2.271,2.465,1.7331619993763874,1.457982,1.6761999999999997
31,0.7175212889724174,0.721,0.719,0.4168403075228916,0.425,0.429,4.817770096055736,4.858,4.895,-2.123117992714901,-2.2541119999999997,-2.2810699999999997
38,0.3696685178110136,0.431,0.385,0.5459170733899671,0.504,0.541,1.3821968133523916,1.279,1.331,1.0326389990683844,0.9183219999999999,0.9742920000000002
78,0.23381610026160332,0.172,0.207,0.546254508150492,0.567,0.558,2.2901803575454847,2.202,2.302,0.020528033600716533,0.04403999999999986,0.055248000000000186
85,0.24151498730522733,0.235,0.237,0.9008659293880621,0.769,0.861,4.046037389728416,3.468,3.896,-3.5631471271104678,-2.933928,-3.381728
87,0.33644725127976066,0.304,0.318,0.6427045356738668,0.605,0.628,2.4578598326717604,2.283,2.411,-1.5510664102602538,-1.39263,-1.5285739999999999
88,0.5789584358691732,0.592,0.587,0.49283876152009726,0.47,0.483,2.6841555369130847,2.676,2.734,-1.9952838672441762,-1.985592,-2.045032
111,0.2931373431022592,0.277,0.322,0.5726679102991366,0.61,0.589,0.7568358972534892,0.748,0.755,-0.2255311242599426,-0.20944000000000007,-0.22046
112,0.7821729426755875,0.679,0.708,0.2392103733985619,0.266,0.262,1.1841102068200848,1.239,1.242,0.2403210989210538,0.27258000000000004,0.2732399999999999
113,0.800313873962777,0.796,0.791,0.4209916413866356,0.438,0.442,3.020463902882438,2.989,3.002,0.4663048799685501,0.4184599999999996,0.42027999999999954
115,0.32205482671968894,0.26,0.359,0.560916060021516,0.617,0.555,1.1794276580262515,1.145,1.151,-0.015361262784304497,-0.0022899999999999032,0.0023020000000000262
121,0.6465531758655814,0.624,0.645,1.0444722057260898,1.018,1.024,2.0909780567128613,2.039,2.088,0.525176574830323,0.47712600000000016,0.505296
123,0.5729480521781338,0.549,0.576,0.9280203991584811,0.954,0.949,1.8222864874358529,1.814,1.851,-0.5110088749027055,-0.475268,-0.4923660000000001
128,0.3345128765341766,0.33,0.334,0.6356528106858743,0.605,0.644,2.372261677969319,2.255,2.427,-1.7614508219083824,-1.61007,-1.7959800000000001
130,0.9461298349822006,0.958,0.939,0.29074167169119813,0.27,0.273,3.5407039463627688,3.48,3.484,1.8857781582834323,1.8165600000000004,1.8186480000000005
154,0.5060994392983204,0.48,0.508,1.0435796098137597,1.057,1.069,2.2927336006591537,2.229,2.314,-1.2495572422994987,-1.1635380000000002,-1.240304
158,0.713170493100896,0.626,0.693,0.371598030410454,0.368,0.353,1.3151424537790002,1.283,1.283,-0.02856955639472436,-0.038490000000000135,-0.03592400000000007
160,0.2250517234915565,0.233,0.23,0.4177698513392397,0.388,0.418,4.568906280437601,4.282,4.571,2.637606202590643,2.3551,2.5963279999999997
163,0.18174829381750346,0.158,0.223,0.31618342887980544,0.36,0.332,0.6889215180424224,0.7,0.699,-0.16092995108296593,-0.16100000000000003,-0.15937199999999996
170,0.40700147732391245,0.342,0.382,0.3499386238230797,0.346,0.336,1.7236302574854168,1.683,1.709,-0.5079130612928151,-0.4342140000000001,-0.45459399999999994
177,0.5733335455611798,0.563,0.577,0.4244949059116962,0.453,0.453,1.8440227192818137,1.863,1.885,-0.19733991485571,-0.20493000000000006,-0.21111999999999997
189,0.7783618864709902,0.742,0.763,0.5403137249995369,0.54,0.535,2.138655493181613,2.108,2.12,0.13693535132025136,0.07588799999999996,0.08056000000000019
192,0.3744632614641622,0.377,0.389,0.4340737381870133,0.41,0.417,2.2937834921726847,2.182,2.246,0.36285571649711423,0.2880239999999996,0.3099479999999999
212,0.5323050787663931,0.53,0.56,0.5571373950914973,0.546,0.54,1.5396787407193893,1.572,1.598,-0.5865517586193435,-0.606792,-0.632808
219,0.34925149137647876,0.325,0.345,1.5260950170408247,1.494,1.523,2.590931590267512,2.495,2.59,0.7782630137532505,0.7285400000000002,0.7821799999999999
223,0.5590006269368512,0.6,0.556,0.07410276034462081,0.072,0.074,3.1954279743703657,3.157,3.165,1.261235738248415,1.1807180000000006,1.1837100000000005
224,0.41022819311011566,0.408,0.426,0.6584448606718863,0.635,0.647,1.7460312254348498,1.68,1.755,1.0292599012052905,0.9441599999999999,1.03194
225,0.4434911754528932,0.428,0.446,1.90968546281553,1.977,1.968,4.846068279920406,5.001,5.057,-0.5862612144892472,-0.6101219999999996,-0.6169539999999998
226,0.6227573525470731,0.576,0.598,0.7900483305230681,0.815,0.818,1.7626439715461077,1.72,1.765,1.131143476618667,1.09736,1.1472499999999999
230,0.6167968946847795,0.496,0.577,0.24316833765927523,0.252,0.24,1.4058051986952649,1.394,1.399,-0.013711273291803439,0.005576000000000025,0.002798000000000078
231,0.2529046364865332,0.189,0.286,0.5669998016605301,0.664,0.598,1.1638186017959078,1.19,1.197,0.14573137435811057,0.14756000000000014,0.1556099999999998
232,0.42971281348230783,0.348,0.411,0.6429778625112841,0.641,0.614,1.0660186222049797,1.032,1.056,0.443983697314398,0.3942239999999999,0.428736
234,0.7660118551067375,0.773,0.783,0.47062848772476956,0.482,0.482,2.1934569894739715,2.23,2.241,-0.5358327448801308,-0.51736,-0.524394
235,0.6051670288968376,0.595,0.555,0.11277744803672371,0.107,0.111,2.027308087592137,2.054,2.059,0.011141977290896499,0.041080000000000005,0.041180000000000216
237,0.6627646347414337,0.684,0.677,0.1725982448313637,0.165,0.166,1.9763965846991125,1.984,1.988,0.6694805589001462,0.67456,0.6759200000000001
239,0.523497435020443,0.462,0.508,1.0065012279230436,0.995,0.974,1.1636510716827408,1.141,1.162,0.06894056879994492,0.0753060000000001,0.08133999999999997
244,0.4574554106153598,0.513,0.468,0.10340893277818435,0.102,0.107,3.077937804058613,3.126,3.14,0.1337415631926815,0.06252000000000013,0.06908000000000003
246,0.6482188268996018,0.651,0.64,0.43195792775649694,0.422,0.432,2.546211558892094,2.549,2.584,0.6181991106711164,0.5607799999999998,0.5736479999999999
249,0.6855068024531472,0.723,0.713,0.22368706691584553,0.232,0.233,1.5210540020982932,1.559,1.563,0.6566066233615955,0.6984319999999997,0.7002239999999997
250,0.19979493135617574,0.24,0.225,0.3507183444929809,0.341,0.369,3.5167532801362906,3.415,3.571,-0.49103463435270855,-0.40980000000000016,-0.4499460000000002
