sim_id,true_eta,tada_eta,addm_eta,true_kappa,tada_kappa,addm_kappa,true_a,tada_a,addm_a,true_x0,tada_x0,addm_x0
0,0.42454802688998333,0.399,0.451,0.45930389507678443,0.456,0.436,1.8172944503135793,1.806,1.837,0.49859355651831594,0.502068,0.529056
1,0.6701272062593124,0.608,0.652,0.7433213271637947,0.773,0.755,1.4937396611134868,1.478,1.493,-0.22434381430784334,-0.254216,-0.2597820000000002
2,0.4502758669708769,0.443,0.46,0.14174791807751333,0.151,0.149,1.8111414894710778,1.818,1.824,-0.0163536938745652,-0.05090400000000006,-0.051072000000000006
3,0.4027438417385661,0.419,0.424,0.47124160738783333,0.447,0.454,2.7867080552044623,2.715,2.786,-0.3001230413319771,-0.2823599999999997,-0.30088800000000004
4,0.4692048775241952,0.466,0.478,1.2187532979717564,1.144,1.209,2.393997054866691,2.214,2.357,1.4913184440129372,1.3284000000000002,1.475482
5,0.338564215473836,0.353,0.374,0.5300215471399147,0.538,0.544,2.0208084848244408,1.993,2.07,-0.7500874024218989,-0.685592,-0.7451999999999999
6,0.15415992171034418,0.026,0.117,0.27131345309123306,0.275,0.253,1.342454159977296,1.264,1.287,-0.45150201992221684,-0.36150400000000005,-0.393822
7,0.13209579190161191,0.121,0.143,0.5484725075936137,0.521,0.537,2.623211287779385,2.375,2.541,-1.788613589912362,-1.5390000000000001,-1.7177159999999998
8,0.8678252480166252,0.925,0.901,0.21708658904620473,0.206,0.209,2.6343802264161655,2.601,2.603,-0.23207414276994198,-0.291312,-0.28633
9,0.17934872129263923,0.217,0.175,0.12563509234620082,0.115,0.123,3.2112840956272386,3.139,3.174,-0.8298705188152962,-0.7847499999999998,-0.7808039999999998
10,0.3700933882908645,0.26,0.307,0.1851206362006205,0.18,0.173,1.6073263941968363,1.646,1.657,-0.15224029825718488,-0.08888399999999996,-0.08616400000000013
11,0.7222545135329691,0.68,0.699,1.0215167565801244,0.983,0.977,1.0327252561558449,1.026,1.034,-0.22143961433680193,-0.23597999999999997,-0.239888
12,0.6900793200429938,0.695,0.702,0.7747347509510185,0.777,0.778,0.7128294413825607,0.714,0.718,0.19071210517929582,0.17564400000000002,0.178064
13,0.6626854870021712,0.672,0.684,1.0053208202170136,0.996,1.01,1.8721980345071056,1.892,1.937,-1.3577151014828215,-1.369808,-1.417884
14,0.3326955511725962,0.285,0.329,1.0540904665245856,1.077,1.072,2.3130080517318445,2.282,2.362,0.35448309007312906,0.26014800000000005,0.28344000000000014
15,0.2104893240667567,0.2,0.162,0.10884482460101236,0.082,0.086,2.9707771667441136,3.046,3.07,1.0631299408307813,1.1209280000000006,1.1297600000000005
16,0.4164518597981898,0.42,0.383,0.19527855010821382,0.165,0.169,1.8740201227086928,1.816,1.831,0.9784915096813913,0.900736,0.9118379999999999
17,0.23957323399869268,0.258,0.268,0.8678195084421285,0.768,0.825,2.5036251603987307,2.249,2.461,1.7331619993763874,1.4708459999999999,1.69809
