sim_id,true_sigma,true_eta,true_kappa,true_a,true_b,true_x0,addm_eta,addm_kappa,addm_a,addm_x0_raw,addm_eta_hdi_3%,addm_eta_hdi_97%,addm_kappa_hdi_3%,addm_kappa_hdi_97%,addm_a_hdi_3%,addm_a_hdi_97%,addm_x0_raw_hdi_3%,addm_x0_raw_hdi_97%,addm_x0,addm_x0_hdi_3%,addm_x0_hdi_97%,time_data_simulation,time_tada_inference,time_addm_inference,addm_eta_error,addm_eta_rel_error,addm_kappa_error,addm_kappa_rel_error,addm_a_error,addm_a_rel_error,addm_x0_error,addm_x0_rel_error
0,1.0,0.3,0.5,2.140826770376092,0.0,0.5,0.298,0.496,2.149,0.623,0.278112230739112,0.3160084319062293,0.4795742192675307,0.5118260799873554,2.1150679851371934,2.18778735932976,0.6149975840934171,0.631558606118602,0.528654,0.49425961643350647,0.5654388890977518,1736.2351014614105,0.0,958.4554023742676,-0.0020000000000000018,-0.006666666666666673,-0.0040000000000000036,-0.008000000000000007,0.008173229623908096,0.0038177912089880374,0.028653999999999957,0.057307999999999915
1,1.0,0.3,0.5,3.5954428951372184,0.0,0.5,0.288,0.485,3.597,0.577,0.27636156190251354,0.3033254440995665,0.47128978207784855,0.49853229487082645,3.5263702190273665,3.6555078022669805,0.5686526029642729,0.5844269870318114,0.553938,0.49388682572497933,0.6073677447068513,4507.788848638535,0.0,1367.6721494197845,-0.01200000000000001,-0.040000000000000036,-0.015000000000000013,-0.030000000000000027,0.0015571048627815998,0.0004330773449044512,0.05393800000000004,0.10787600000000008
2,1.0,0.3,0.5,1.3927519389801444,0.0,0.5,0.323,0.506,1.393,0.681,0.29745738331920824,0.34902041574306425,0.486295470769716,0.5253384467848822,1.3682855948715011,1.4160725422630946,0.6735985886663334,0.6891984553919636,0.5042660000000001,0.4836456680244048,0.5271068967220105,714.0131967067719,0.0,567.1270663738251,0.02300000000000002,0.07666666666666674,0.006000000000000005,0.01200000000000001,0.0002480610198556388,0.00017810854389280822,0.004266000000000103,0.008532000000000206
3,1.0,0.3,0.5,1.5542952785891457,0.0,0.5,0.319,0.508,1.558,0.665,0.2967227268901388,0.3432181321409817,0.4885697844687748,0.5280127099684788,1.5316891864380582,1.5848072611572457,0.6573541325794747,0.673309194083936,0.51414,0.49031547711764323,0.5400314487655444,878.3167600631714,0.0,413.2597758769989,0.019000000000000017,0.0633333333333334,0.008000000000000007,0.016000000000000014,0.003704721410854317,0.002383537711198056,0.014140000000000041,0.028280000000000083
4,1.0,0.3,0.5,2.339548645717877,0.0,0.5,0.3,0.499,2.32,0.607,0.28019595102607864,0.3194375301570701,0.48346578410191743,0.5167296475704163,2.2806683728283814,2.360808139786994,0.5994761253054489,0.6149643560163366,0.49648000000000003,0.46156922141728307,0.5334346119158018,2646.8908784389496,0.0,999.7991213798523,0.0,0.0,-0.0010000000000000009,-0.0020000000000000018,-0.01954864571787729,-0.00835573380944977,-0.0035199999999999676,-0.007039999999999935
5,1.0,0.3,0.5,1.150795967430231,0.0,0.5,0.32,0.501,1.146,0.711,0.286520367057708,0.35356569562312345,0.4776408155139153,0.5245079892253253,1.1248557269920416,1.1659752071821858,0.7033371856018609,0.7183087221681211,0.48361199999999993,0.4660488293994651,0.5003635912093336,479.08133482933044,0.0,451.09759879112244,0.020000000000000018,0.06666666666666674,0.0010000000000000009,0.0020000000000000018,-0.004795967430231141,-0.004167521929139801,-0.01638800000000007,-0.03277600000000014
6,1.0,0.3,0.5,1.05180508298725,0.0,0.5,0.311,0.511,1.076,0.743,0.2733220426513292,0.34501249480882074,0.48483656049665186,0.5362914705217933,1.057791255944134,1.096577037587679,0.7361477481750898,0.7502919543891788,0.5229360000000001,0.5081899540727932,0.5386282858455129,382.95806193351746,0.0,480.7060737609863,0.01100000000000001,0.0366666666666667,0.01100000000000001,0.02200000000000002,0.024194917012750006,0.023003232637014454,0.022936000000000067,0.045872000000000135
7,1.0,0.3,0.5,1.1340389725078437,0.0,0.5,0.297,0.499,1.128,0.713,0.26719598128062266,0.3284925679772546,0.4749200074264824,0.5208020292631996,1.1082991032832679,1.146906524732714,0.7055955705678152,0.7204553984702379,0.48052799999999984,0.4638236072009909,0.4973473789488565,463.94056606292725,0.0,311.05774974823,-0.0030000000000000027,-0.010000000000000009,-0.0010000000000000009,-0.0020000000000000018,-0.006038972507843798,-0.005325189569533977,-0.019472000000000156,-0.03894400000000031
8,1.0,0.3,0.5,1.3360261563846996,0.0,0.5,0.311,0.521,1.346,0.689,0.2885900139927044,0.33810110781797936,0.4997441779546801,0.5416467191138826,1.3218022352691527,1.3693908108816712,0.6820438626467549,0.6959943444692114,0.5087879999999998,0.4900620782450642,0.5276167753111172,890.0646336078644,0.0,623.7918813228607,0.01100000000000001,0.0366666666666667,0.02100000000000002,0.04200000000000004,0.009973843615300515,0.007465305651118267,0.008787999999999796,0.017575999999999592
9,1.0,0.3,0.5,0.9998068364632776,0.0,0.5,0.259,0.491,0.998,0.746,0.21321692773559128,0.29815567925143205,0.4650777507720003,0.5170968851499471,0.9796239146783994,1.0128131647774377,0.7385712726726422,0.7526273823688978,0.4910159999999999,0.47618826025459393,0.50424425520832,331.9039137363434,0.0,464.90470337867737,-0.04099999999999998,-0.1366666666666666,-0.009000000000000008,-0.018000000000000016,-0.0018068364632776168,-0.0018071855456291241,-0.008984000000000103,-0.017968000000000206
10,1.0,0.3,0.5,1.0184337046096907,0.0,0.5,0.296,0.502,1.029,0.746,0.2566408112266525,0.32944116939619017,0.47752006282845777,0.5268534601427699,1.0098576615933013,1.0471085255959056,0.7394014018909095,0.7528315157396998,0.5062679999999999,0.49268808509149187,0.5203272593923021,415.26333117485046,0.0,425.010333776474,-0.0040000000000000036,-0.013333333333333346,0.0020000000000000018,0.0040000000000000036,0.010566295390309177,0.010375044877720984,0.00626799999999994,0.01253599999999988
11,1.0,0.3,0.5,1.37718006178503,0.0,0.5,0.299,0.489,1.382,0.685,0.2736341710664783,0.3290976594026157,0.46958959362383296,0.5086429876473736,1.3603822657981837,1.4041681759282008,0.6767372755269412,0.6926079349684416,0.5113400000000001,0.4885018295564654,0.5323683322527726,818.2563397884369,0.0,672.8765201568604,-0.0010000000000000009,-0.0033333333333333366,-0.01100000000000001,-0.02200000000000002,0.004819938214969843,0.0034998605837514717,0.011340000000000128,0.022680000000000256
12,1.0,0.3,0.5,2.4016510567881064,0.0,0.5,0.305,0.494,2.392,0.595,0.2844032367557322,0.3209987062426257,0.47924451980446947,0.5121656613969178,2.355756704147342,2.433672639932103,0.5872049889355404,0.6030862018350973,0.4544799999999998,0.4171886670676255,0.4931643895791056,2459.534648180008,0.0,1278.8228027820587,0.0050000000000000044,0.016666666666666684,-0.006000000000000005,-0.01200000000000001,-0.009651056788106516,-0.004018509167194979,-0.04552000000000023,-0.09104000000000045
13,1.0,0.3,0.5,4.26563384423439,0.0,0.5,0.31,0.501,4.291,0.564,0.29864668164744246,0.3208255791804492,0.4870574016281129,0.5119559459511195,4.221249862348373,4.368677413429707,0.5560690652397364,0.5714868487391688,0.5492479999999995,0.4811847178874178,0.6135001358795469,7275.19720864296,0.0,2271.941775083542,0.010000000000000009,0.03333333333333337,0.0010000000000000009,0.0020000000000000018,0.025366155765610188,0.005946632245497618,0.049247999999999514,0.09849599999999903
14,1.0,0.3,0.5,1.7547711500990957,0.0,0.5,0.299,0.503,1.754,0.643,0.2769813439160979,0.3238694369356149,0.4865748565434448,0.521270473446831,1.7233508546235696,1.7830965242188173,0.6343466297206761,0.6502571528034918,0.5016440000000002,0.4712879770601317,0.5271020920346494,1283.7216522693634,0.0,909.8392946720123,-0.0010000000000000009,-0.0033333333333333366,0.0030000000000000027,0.006000000000000005,-0.0007711500990956743,-0.0004394590708036919,0.0016440000000002009,0.0032880000000004017
15,1.0,0.3,0.5,1.0307311162124815,0.0,0.5,0.304,0.506,1.038,0.743,0.26720561829227113,0.3391720536921845,0.47773072658406734,0.5273428830079149,1.0192718682419228,1.0561047354358646,0.7360703788025363,0.7497870974913768,0.5044679999999999,0.49008210639406546,0.5185580143920983,430.3961184024811,0.0,441.88132095336914,0.0040000000000000036,0.013333333333333346,0.006000000000000005,0.01200000000000001,0.007268883787518554,0.00705216294840186,0.0044679999999999165,0.008935999999999833
16,1.0,0.3,0.5,2.0795989843786185,0.0,0.5,0.305,0.498,2.066,0.619,0.2851332618849606,0.32309457319623613,0.4812322022315381,0.5122607340913999,2.0319566108900977,2.1018273901479554,0.611840009698722,0.627689070986196,0.49170800000000003,0.4621229200751191,0.5276112413149616,1579.5829348564148,0.0,735.6435744762421,0.0050000000000000044,0.016666666666666684,-0.0020000000000000018,-0.0040000000000000036,-0.013598984378618617,-0.006539233996924641,-0.008291999999999966,-0.016583999999999932
