sim_id,true_sigma,true_eta,true_kappa,true_a,true_b,true_x0,tada_eta,tada_kappa,tada_a,tada_z,tada_eta_hdi_3%,tada_eta_hdi_97%,tada_kappa_hdi_3%,tada_kappa_hdi_97%,tada_a_hdi_3%,tada_a_hdi_97%,tada_z_hdi_3%,tada_z_hdi_97%,tada_x0,tada_x0_hdi_3%,tada_x0_hdi_97%,addm_eta,addm_kappa,addm_a,addm_x0_raw,addm_eta_hdi_3%,addm_eta_hdi_97%,addm_kappa_hdi_3%,addm_kappa_hdi_97%,addm_a_hdi_3%,addm_a_hdi_97%,addm_x0_raw_hdi_3%,addm_x0_raw_hdi_97%,addm_x0,addm_x0_hdi_3%,addm_x0_hdi_97%,time_data_simulation,time_tada_inference,time_addm_inference,tada_eta_error,tada_eta_rel_error,addm_eta_error,addm_eta_rel_error,tada_kappa_error,tada_kappa_rel_error,addm_kappa_error,addm_kappa_rel_error,tada_a_error,tada_a_rel_error,addm_a_error,addm_a_rel_error,tada_x0_error,tada_x0_rel_error,addm_x0_error,addm_x0_rel_error
0,1.0,0.3,0.5,2.140826770376092,0.0,0.5,0.276,0.517,2.069,0.611,0.2554872423116975,0.2949562894096596,0.5011708782487233,0.5368720813084548,2.031140755841425,2.103698045242611,0.6025251746381579,0.6191585828688534,0.4593180000000001,0.42424917265269757,0.4930782159113152,0.313,0.508,2.144,0.615,0.2933261230444548,0.33048611465550565,0.4922430003761384,0.5235557995500724,2.1041564067612883,2.180509712651158,0.6058332960250771,0.6222113183111118,0.4931199999999998,0.4538131733555306,0.5240421329180474,1699.3995461463928,171.21841883659363,921.7615234851837,-0.023999999999999966,-0.07999999999999989,0.013000000000000012,0.043333333333333376,0.017000000000000015,0.03400000000000003,0.008000000000000007,0.016000000000000014,-0.07182677037609198,-0.03355094927343128,0.0031732296239082025,0.0014822449288368822,-0.040681999999999885,-0.08136399999999977,-0.006880000000000219,-0.013760000000000439
1,1.0,0.3,0.5,3.5954428951372184,0.0,0.5,0.299,0.478,3.466,0.571,0.28314785084509303,0.3102643505667161,0.4619988960254256,0.49272147508659725,3.3942204497216077,3.540156711891777,0.5620396624766253,0.5789573465864014,0.4921719999999996,0.43005894028796643,0.5473323265369343,0.301,0.495,3.609,0.572,0.286867198795704,0.3136091201643585,0.482003706783603,0.508793137734267,3.543411226460449,3.6754682446353315,0.5638438893543652,0.5798103372615888,0.5196959999999997,0.460825193359808,0.5760710143541479,4506.88587975502,107.3508026599884,1562.1009104251862,-0.0010000000000000009,-0.0033333333333333366,0.0010000000000000009,0.0033333333333333366,-0.02200000000000002,-0.04400000000000004,-0.0050000000000000044,-0.010000000000000009,-0.12944289513721818,-0.036001933256202656,0.01355710486278161,0.0037706355679066376,-0.00782800000000039,-0.01565600000000078,0.019695999999999714,0.03939199999999943
2,1.0,0.3,0.5,1.3927519389801444,0.0,0.5,0.242,0.509,1.348,0.662,0.21179000540547135,0.2746639954074497,0.4882949513348467,0.5309200772268726,1.3252373075237112,1.3703039781173765,0.654018777959353,0.6697271879149072,0.43675200000000003,0.4152346253784158,0.45758449861858974,0.3,0.49,1.381,0.673,0.2725475022681025,0.3261829527663578,0.4716857307928829,0.5105389712874578,1.3569403525407067,1.4046473908549428,0.6640440078571516,0.679503826035895,0.4778260000000001,0.45308954970145265,0.4957895675111419,695.1772336959839,92.47939562797546,509.980596780777,-0.057999999999999996,-0.19333333333333333,0.0,0.0,0.009000000000000008,0.018000000000000016,-0.010000000000000009,-0.020000000000000018,-0.04475193898014429,-0.032132024180066346,-0.011751938980144372,-0.008437926849162988,-0.06324799999999997,-0.12649599999999994,-0.022173999999999916,-0.04434799999999983
3,1.0,0.3,0.5,1.5542952785891457,0.0,0.5,0.238,0.527,1.512,0.651,0.21495245952899297,0.26253238818232083,0.5067074999481423,0.5460792034488291,1.4856583918350923,1.5373553592528288,0.6436770805213801,0.6588608681640665,0.45662400000000014,0.4344794914966532,0.48039526532813714,0.298,0.498,1.547,0.659,0.2741998573130213,0.32418001625639775,0.47790768717930787,0.5165912028697641,1.5223900327658215,1.5736888067593524,0.6512862922954373,0.667218740254017,0.4919460000000002,0.46807978836208286,0.5173747823459285,926.2889716625214,113.29163932800293,424.11850094795227,-0.062,-0.20666666666666667,-0.0020000000000000018,-0.006666666666666673,0.027000000000000024,0.05400000000000005,-0.0020000000000000018,-0.0040000000000000036,-0.042295278589145724,-0.02721186840864479,-0.007295278589145804,-0.004693624621807913,-0.04337599999999986,-0.08675199999999972,-0.008053999999999784,-0.016107999999999567
4,1.0,0.3,0.5,2.339548645717877,0.0,0.5,0.25,0.491,2.256,0.606,0.22701987404098478,0.2682135140841065,0.47473450972166503,0.5084895573661018,2.2114395742175392,2.29807677425407,0.5975449323430843,0.6133065851399309,0.47827200000000003,0.44012273473199626,0.5112393121513681,0.274,0.494,2.35,0.609,0.25625671728000526,0.2950352727859286,0.47760679077723156,0.5106573269055188,2.310711112977614,2.3912449452599103,0.6021078206554044,0.6171866830195564,0.5122999999999998,0.4799067570804003,0.5507774101919152,2040.865790605545,153.4112331867218,710.9453327655792,-0.04999999999999999,-0.16666666666666663,-0.025999999999999968,-0.08666666666666656,-0.009000000000000008,-0.018000000000000016,-0.006000000000000005,-0.01200000000000001,-0.08354864571787735,-0.035711437704361526,0.01045135428212296,0.004467252391290211,-0.02172799999999997,-0.04345599999999994,0.012299999999999756,0.02459999999999951
5,1.0,0.3,0.5,1.150795967430231,0.0,0.5,0.253,0.509,1.121,0.707,0.2201852403510254,0.29070192630831726,0.48625120512957254,0.5324310858875412,1.1027389393528773,1.1409308979407515,0.6992274264589966,0.7142765196876338,0.464094,0.44666789012107033,0.4804079571396751,0.309,0.493,1.151,0.719,0.2779313651879065,0.3432217402027137,0.4708080293308411,0.5174940165735489,1.1289033229180987,1.1712408105468708,0.7113897003347259,0.7266175731539237,0.504138,0.48661909017053917,0.5216736534003323,473.8748412132263,98.25270080566406,336.28004693984985,-0.046999999999999986,-0.15666666666666662,0.009000000000000008,0.030000000000000027,0.009000000000000008,0.018000000000000016,-0.007000000000000006,-0.014000000000000012,-0.029795967430231052,-0.02589161612789322,0.00020403256976897488,0.00017729691061099822,-0.035905999999999993,-0.07181199999999999,0.004137999999999975,0.00827599999999995
6,1.0,0.3,0.5,1.05180508298725,0.0,0.5,0.26,0.531,1.03,0.732,0.2210282609185954,0.2928161500477773,0.50222534068073,0.5567531743641113,1.0130794037425492,1.0484714237843393,0.7247032964885297,0.7381889558267932,0.4779199999999999,0.46288879076637124,0.4906692490031941,0.322,0.512,1.053,0.742,0.2879026560480418,0.36097917197034635,0.48566354042425797,0.539465080891901,1.033933659194238,1.0720222221421816,0.7353796946030469,0.7494440988482737,0.509652,0.4957096368340166,0.5253292721744642,367.8452773094177,125.54773306846619,380.0129060745239,-0.03999999999999998,-0.13333333333333328,0.02200000000000002,0.0733333333333334,0.031000000000000028,0.062000000000000055,0.01200000000000001,0.02400000000000002,-0.021805082987250035,-0.020731106304716685,0.0011949170127498743,0.0011360631661487786,-0.0220800000000001,-0.0441600000000002,0.009651999999999994,0.019303999999999988
7,1.0,0.3,0.5,1.1340389725078437,0.0,0.5,0.264,0.532,1.104,0.707,0.22918804013735686,0.3017899200496925,0.5044728608976575,0.5519408189636401,1.082747851674872,1.1212215393645089,0.6992917020967125,0.7143436907006977,0.4570559999999999,0.4400360782295414,0.47327086906714055,0.316,0.515,1.131,0.719,0.28782590068843755,0.3482196868163363,0.4928643940884922,0.540312251197283,1.1119709433348897,1.1517854466189825,0.7117505622932957,0.7254470003399791,0.4953779999999999,0.4789797719074349,0.5099611147690328,437.0011730194092,96.36069202423096,503.7201392650604,-0.035999999999999976,-0.11999999999999993,0.016000000000000014,0.053333333333333385,0.03200000000000003,0.06400000000000006,0.015000000000000013,0.030000000000000027,-0.030038972507843598,-0.02648848340847989,-0.0030389725078436847,-0.0026797778396656165,-0.04294400000000009,-0.08588800000000019,-0.004622000000000126,-0.009244000000000252
8,1.0,0.3,0.5,1.3360261563846996,0.0,0.5,0.266,0.523,1.29,0.671,0.23532872766016424,0.2958815160099023,0.49881104855800756,0.5443647627877505,1.269114982129005,1.3153855982488625,0.6628630845363487,0.6785753285138039,0.4411800000000001,0.4201867581037797,0.460724347565614,0.322,0.505,1.325,0.684,0.2950657066809153,0.3479795036863144,0.48355760642450785,0.5245479761240782,1.299965856224595,1.34688042498679,0.6758903305157137,0.6904918745016998,0.48760000000000003,0.46610937586664125,0.5048034674295045,643.6080009937286,134.56864166259766,480.653689622879,-0.033999999999999975,-0.11333333333333326,0.02200000000000002,0.0733333333333334,0.02300000000000002,0.04600000000000004,0.0050000000000000044,0.010000000000000009,-0.046026156384699535,-0.03445004138934434,-0.011026156384699615,-0.008252949489055294,-0.05881999999999987,-0.11763999999999974,-0.012399999999999967,-0.024799999999999933
9,1.0,0.3,0.5,0.9998068364632776,0.0,0.5,0.245,0.504,0.979,0.733,0.20328136303605543,0.284667229874113,0.4738720024353117,0.5284027565355315,0.9605865153799595,0.9953084447615693,0.7260777079267492,0.7401299323868449,0.456214,0.44266015212057497,0.4701744076134423,0.304,0.486,1.001,0.742,0.26836944648868366,0.34248693174915257,0.46118899490116777,0.511526504453804,0.9828232814943191,1.016306006385395,0.7358920749328783,0.7496381761821582,0.4844839999999999,0.47225593401562227,0.4997756287166808,334.2466540336609,106.6515326499939,363.3993270397186,-0.05499999999999999,-0.18333333333333332,0.0040000000000000036,0.013333333333333346,0.0040000000000000036,0.008000000000000007,-0.014000000000000012,-0.028000000000000025,-0.020806836463277634,-0.020810856361894718,0.0011931635367222748,0.0011933940569390166,-0.04378599999999999,-0.08757199999999998,-0.015516000000000085,-0.03103200000000017
