sim_id,true_eta,tada_eta,tada_eta_hdi_3%,tada_eta_hdi_97%,addm_eta,addm_eta_hdi_3%,addm_eta_hdi_97%,true_kappa,tada_kappa,tada_kappa_hdi_3%,tada_kappa_hdi_97%,addm_kappa,addm_kappa_hdi_3%,addm_kappa_hdi_97%,true_a,tada_a,tada_a_hdi_3%,tada_a_hdi_97%,addm_a,addm_a_hdi_3%,addm_a_hdi_97%,true_x0,tada_x0,tada_x0_hdi_3%,tada_x0_hdi_97%,addm_x0,addm_x0_hdi_3%,addm_x0_hdi_97%
0,0.3,0.276,0.2554872423116975,0.2949562894096596,0.313,0.2933261230444548,0.33048611465550565,0.5,0.517,0.5011708782487233,0.5368720813084548,0.508,0.4922430003761384,0.5235557995500724,2.140826770376092,2.069,2.031140755841425,2.103698045242611,2.144,2.1041564067612883,2.180509712651158,0.5,0.4593180000000001,0.42424917265269757,0.4930782159113152,0.4931199999999998,0.4538131733555306,0.5240421329180474
1,0.3,0.299,0.28314785084509303,0.3102643505667161,0.301,0.286867198795704,0.3136091201643585,0.5,0.478,0.4619988960254256,0.49272147508659725,0.495,0.482003706783603,0.508793137734267,3.5954428951372184,3.466,3.3942204497216077,3.540156711891777,3.609,3.543411226460449,3.6754682446353315,0.5,0.4921719999999996,0.43005894028796643,0.5473323265369343,0.5196959999999997,0.460825193359808,0.5760710143541479
2,0.3,0.242,0.21179000540547135,0.2746639954074497,0.3,0.2725475022681025,0.3261829527663578,0.5,0.509,0.4882949513348467,0.5309200772268726,0.49,0.4716857307928829,0.5105389712874578,1.3927519389801444,1.348,1.3252373075237112,1.3703039781173765,1.381,1.3569403525407067,1.4046473908549428,0.5,0.43675200000000003,0.4152346253784158,0.45758449861858974,0.4778260000000001,0.45308954970145265,0.4957895675111419
3,0.3,0.238,0.21495245952899297,0.26253238818232083,0.298,0.2741998573130213,0.32418001625639775,0.5,0.527,0.5067074999481423,0.5460792034488291,0.498,0.47790768717930787,0.5165912028697641,1.5542952785891457,1.512,1.4856583918350923,1.5373553592528288,1.547,1.5223900327658215,1.5736888067593524,0.5,0.45662400000000014,0.4344794914966532,0.48039526532813714,0.4919460000000002,0.46807978836208286,0.5173747823459285
4,0.3,0.25,0.22701987404098478,0.2682135140841065,0.274,0.25625671728000526,0.2950352727859286,0.5,0.491,0.47473450972166503,0.5084895573661018,0.494,0.47760679077723156,0.5106573269055188,2.339548645717877,2.256,2.2114395742175392,2.29807677425407,2.35,2.310711112977614,2.3912449452599103,0.5,0.47827200000000003,0.44012273473199626,0.5112393121513681,0.5122999999999998,0.4799067570804003,0.5507774101919152
5,0.3,0.253,0.2201852403510254,0.29070192630831726,0.309,0.2779313651879065,0.3432217402027137,0.5,0.509,0.48625120512957254,0.5324310858875412,0.493,0.4708080293308411,0.5174940165735489,1.150795967430231,1.121,1.1027389393528773,1.1409308979407515,1.151,1.1289033229180987,1.1712408105468708,0.5,0.464094,0.44666789012107033,0.4804079571396751,0.504138,0.48661909017053917,0.5216736534003323
6,0.3,0.26,0.2210282609185954,0.2928161500477773,0.322,0.2879026560480418,0.36097917197034635,0.5,0.531,0.50222534068073,0.5567531743641113,0.512,0.48566354042425797,0.539465080891901,1.05180508298725,1.03,1.0130794037425492,1.0484714237843393,1.053,1.033933659194238,1.0720222221421816,0.5,0.4779199999999999,0.46288879076637124,0.4906692490031941,0.509652,0.4957096368340166,0.5253292721744642
7,0.3,0.264,0.22918804013735686,0.3017899200496925,0.316,0.28782590068843755,0.3482196868163363,0.5,0.532,0.5044728608976575,0.5519408189636401,0.515,0.4928643940884922,0.540312251197283,1.1340389725078437,1.104,1.082747851674872,1.1212215393645089,1.131,1.1119709433348897,1.1517854466189825,0.5,0.4570559999999999,0.4400360782295414,0.47327086906714055,0.4953779999999999,0.4789797719074349,0.5099611147690328
8,0.3,0.266,0.23532872766016424,0.2958815160099023,0.322,0.2950657066809153,0.3479795036863144,0.5,0.523,0.49881104855800756,0.5443647627877505,0.505,0.48355760642450785,0.5245479761240782,1.3360261563846996,1.29,1.269114982129005,1.3153855982488625,1.325,1.299965856224595,1.34688042498679,0.5,0.4411800000000001,0.4201867581037797,0.460724347565614,0.48760000000000003,0.46610937586664125,0.5048034674295045
9,0.3,0.245,0.20328136303605543,0.284667229874113,0.304,0.26836944648868366,0.34248693174915257,0.5,0.504,0.4738720024353117,0.5284027565355315,0.486,0.46118899490116777,0.511526504453804,0.9998068364632776,0.979,0.9605865153799595,0.9953084447615693,1.001,0.9828232814943191,1.016306006385395,0.5,0.456214,0.44266015212057497,0.4701744076134423,0.4844839999999999,0.47225593401562227,0.4997756287166808
