sim_id,true_eta,tada_eta,tada_eta_hdi_3%,tada_eta_hdi_97%,addm_eta,addm_eta_hdi_3%,addm_eta_hdi_97%,true_kappa,tada_kappa,tada_kappa_hdi_3%,tada_kappa_hdi_97%,addm_kappa,addm_kappa_hdi_3%,addm_kappa_hdi_97%,true_a,tada_a,tada_a_hdi_3%,tada_a_hdi_97%,addm_a,addm_a_hdi_3%,addm_a_hdi_97%,true_x0,tada_x0,addm_x0
0,0.42454802688998333,0.408,0.38752613892476095,0.4278866283094256,0.436,0.4164411570609379,0.4546763807676961,0.5,0.508,0.4906647110746888,0.5260954199720314,0.502,0.48355073749611815,0.5188363820489573,2.0,1.977,1.9446634329810117,2.01073608857929,2.025,1.9894067327362042,2.0641956735874225,0.5,0.48238800000000004,0.5143499999999999
1,0.6701272062593124,0.632,0.6117003848500262,0.653952570912421,0.658,0.639856488642944,0.6768584562513563,0.5,0.485,0.4675057211688147,0.5015168541726874,0.477,0.4618277588188128,0.4932676036642925,2.0,1.967,1.92931045846817,1.9942530496306325,1.98,1.9466172608962207,2.0113124566481853,0.5,0.47208000000000006,0.48312
2,0.4502758669708769,0.41,0.390520441028517,0.43229636434731683,0.444,0.4260865156388724,0.461728543089119,0.5,0.51,0.4935952261667623,0.5266621593140424,0.502,0.48467964092279847,0.5180675329719524,2.0,1.995,1.9642754843983965,2.032212946163093,2.039,2.0053705974950096,2.079766454856487,0.5,0.46682999999999986,0.48936
3,0.4027438417385661,0.385,0.3632611628596463,0.40404438384695035,0.412,0.3922608713689722,0.4316129588446578,0.5,0.498,0.4788997342333984,0.5158736621975164,0.495,0.4769981885589339,0.5111012384263172,2.0,1.965,1.9353305565351222,2.0000742672586953,2.015,1.9779053693432465,2.0469448714926335,0.5,0.4951800000000002,0.5239000000000003
4,0.4692048775241952,0.424,0.4052515813060595,0.44546447686313934,0.463,0.4456741399086125,0.48357622257570587,0.5,0.503,0.48505626392588835,0.5202195562324223,0.49,0.47335404017809424,0.5057734106600824,2.0,1.956,1.9203871336881542,1.9915458177103846,1.993,1.9600136454335408,2.0262687965918373,0.5,0.4733519999999998,0.49426400000000004
5,0.338564215473836,0.307,0.28843747537444864,0.3308728815278681,0.344,0.32562745786362635,0.3660959280489799,0.5,0.514,0.4973613687500328,0.5311803348981986,0.502,0.48535716193867046,0.5191020706088482,2.0,1.968,1.9296319804488344,1.999193392452101,2.023,1.988038226694484,2.058904191180777,0.5,0.4841280000000001,0.5178880000000001
6,0.15415992171034418,0.101,0.08016064606983372,0.12553170565715566,0.146,0.12375649864956191,0.1669610926800974,0.5,0.516,0.49796878260510735,0.5331991819956219,0.499,0.4817479108787027,0.5169485620596613,2.0,1.934,1.9006374194859097,1.9675686057829032,2.021,1.9815699350186429,2.0509469406789185,0.5,0.4370839999999998,0.47695599999999994
7,0.13209579190161191,0.07,0.04562413481732946,0.09353747370994298,0.115,0.09336535609945645,0.1359482258657968,0.5,0.521,0.5037872116210894,0.5388716128826541,0.501,0.48544351707475575,0.5181955814923804,2.0,1.917,1.8804414128083122,1.9493236936797602,2.006,1.9729997022115837,2.0365544403491542,0.5,0.44857800000000014,0.5015000000000001
8,0.8678252480166252,0.86,0.8370115071148273,0.8825237300507086,0.871,0.8517510041543228,0.8892364992784926,0.5,0.497,0.4801367807014891,0.5166604084206894,0.494,0.47698896711549044,0.5124248557975793,2.0,2.004,1.968325204973524,2.03692302681591,2.006,1.9740662534832916,2.045243521703433,0.5,0.48496799999999984,0.485452
9,0.17934872129263923,0.118,0.09079522705340988,0.13832076422456313,0.162,0.14111203106879588,0.18673463310066574,0.5,0.508,0.4904722338046131,0.5284496464532159,0.49,0.473344463817065,0.5073394432460017,2.0,1.929,1.8980802406799586,1.9691581606371933,2.01,1.9789076430139876,2.0417153287679195,0.5,0.4398120000000001,0.4944600000000001
10,0.3700933882908645,0.321,0.2970495155622828,0.34050780249991525,0.362,0.34335373546518316,0.38183168065421524,0.5,0.52,0.5018658070442801,0.5388702076252628,0.506,0.4887444254902581,0.524253932222514,2.0,1.94,1.906311822276625,1.9723165038946047,1.999,1.9684566819237108,2.0313932453565653,0.5,0.42291999999999996,0.4677660000000001
11,0.7222545135329691,0.698,0.6734942251068691,0.7177532182922226,0.714,0.6952423212842752,0.7327774669769577,0.5,0.492,0.4752799705646171,0.5096932566261164,0.489,0.47257744082667186,0.5054544709359794,2.0,1.971,1.9365614617739446,2.0032722449583713,1.986,1.9511630831208893,2.0161625738500155,0.5,0.4730400000000001,0.4845840000000001
12,0.6900793200429938,0.672,0.6492959190737527,0.6932025675679926,0.685,0.6661847238422902,0.7021719452061884,0.5,0.511,0.493712068850463,0.52787093468194,0.512,0.4940794185438686,0.528013595775352,2.0,1.986,1.952560799026451,2.0197972210192146,2.007,1.9734090080259188,2.0408299608776344,0.5,0.5084160000000002,0.52182
13,0.6626854870021712,0.64,0.6160206503826768,0.6607111604408007,0.669,0.6481403265000584,0.6873691557511056,0.5,0.496,0.4807196791757618,0.5152008866110908,0.488,0.4725189673796714,0.5053937139529402,2.0,1.977,1.943437442938581,2.0095569811533665,1.991,1.9641810396094666,2.027498654830549,0.5,0.48634199999999983,0.48978600000000005
14,0.3326955511725962,0.283,0.2572766356548539,0.30661087346916727,0.322,0.3003217329156769,0.34040958229639123,0.5,0.5,0.4793551375028721,0.5174069817819449,0.491,0.47335769328010235,0.5059716345109762,2.0,1.921,1.8855669422403452,1.9540954393452965,1.987,1.9550881969508995,2.021143254347148,0.5,0.4725659999999998,0.5086720000000002
15,0.2104893240667567,0.189,0.16426701596827614,0.21332119812923872,0.231,0.20524151607563665,0.25092126533221804,0.5,0.52,0.5010691220228414,0.5357519432356971,0.509,0.4931179806302479,0.5265552445560163,2.0,1.922,1.887672445871482,1.9553377507862348,1.995,1.960856939853825,2.028621420754376,0.5,0.430528,0.4748100000000002
