sim_id,true_sigma,true_eta,true_kappa,true_a,true_b,true_x0,addm_eta,addm_kappa,addm_a,addm_x0_raw,addm_eta_hdi_3%,addm_eta_hdi_97%,addm_kappa_hdi_3%,addm_kappa_hdi_97%,addm_a_hdi_3%,addm_a_hdi_97%,addm_x0_raw_hdi_3%,addm_x0_raw_hdi_97%,addm_x0,addm_x0_hdi_3%,addm_x0_hdi_97%,time_data_simulation,time_tada_inference,time_addm_inference,addm_eta_error,addm_eta_rel_error,addm_kappa_error,addm_kappa_rel_error,addm_a_error,addm_a_rel_error,addm_x0_error,addm_x0_rel_error
0,1.0,0.3,0.5229543176249873,2.0,0.0,0.5,0.305,0.537,2.045,0.631,0.28644484263997383,0.3254209806963859,0.5170105605895786,0.552828328584635,2.0087182225680227,2.0807509726307325,0.6229292586597098,0.6385988515491393,0.53579,0.5027806679182132,0.5668693028359799,1732.6250092983246,0.0,1072.7080368995667,0.0050000000000000044,0.016666666666666684,0.014045682375012691,0.02685833523433094,0.04499999999999993,0.022499999999999964,0.03578999999999999,0.07157999999999998
1,1.0,0.3,1.0792663404301215,2.0,0.0,0.5,0.304,1.068,1.993,0.617,0.29225047593356485,0.31797548000866865,1.0393756501324471,1.0954467374758505,1.9557209932707778,2.031020087443144,0.6109381920897522,0.6233111814524271,0.46636199999999994,0.44219963366975246,0.49151836926937453,1024.1020760536194,0.0,1428.9679861068726,0.0040000000000000036,0.013333333333333346,-0.011266340430121424,-0.010438887981655607,-0.006999999999999895,-0.0034999999999999476,-0.03363800000000006,-0.06727600000000011
2,1.0,0.3,0.27451599083423217,2.0,0.0,0.5,0.286,0.266,1.982,0.619,0.2516678341366279,0.315798939490121,0.25388046506018985,0.27819293395861894,1.9529901294380594,2.014718945215688,0.6104339024709585,0.6281009216359299,0.471716,0.43775998939487937,0.5077920533648259,2118.85146689415,0.0,1123.2567977905273,-0.014000000000000012,-0.04666666666666671,-0.008515990834232157,-0.031021838867574675,-0.018000000000000016,-0.009000000000000008,-0.028283999999999976,-0.05656799999999995
3,1.0,0.3,0.3250583646742278,2.0,0.0,0.5,0.306,0.323,1.982,0.625,0.27914066501169377,0.3339176571708894,0.30925565524747517,0.33762765900852376,1.9491367770786467,2.0128471567023993,0.6166414296743398,0.633130500196529,0.49550000000000005,0.46236662722908295,0.5277293027790406,2067.166669368744,0.0,735.5973744392395,0.006000000000000005,0.020000000000000018,-0.002058364674227764,-0.0063322925908725625,-0.018000000000000016,-0.009000000000000008,-0.0044999999999999485,-0.008999999999999897
4,1.0,0.3,0.5941847403821459,2.0,0.0,0.5,0.303,0.591,2.008,0.623,0.28382254885340386,0.3213050261070637,0.5719154242195222,0.6100706896139514,1.9739775719248522,2.0423691383074822,0.614489291739127,0.6297710277650015,0.4939680000000002,0.4597889956243342,0.5211604475042462,1593.0658886432648,0.0,1035.336912870407,0.0030000000000000027,0.010000000000000009,-0.0031847403821458897,-0.005359848824285938,0.008000000000000007,0.0040000000000000036,-0.006031999999999815,-0.01206399999999963
5,1.0,0.3,0.20290062946884058,2.0,0.0,0.5,0.271,0.201,2.025,0.63,0.22645212211936822,0.31365912036034027,0.1882019199753553,0.21230466570097048,1.9937722506717974,2.0550600701138824,0.6215631879622104,0.6380988987139273,0.5265,0.49233091124695205,0.5593005397914057,2353.4909467697144,0.0,1060.2120509147644,-0.02899999999999997,-0.09666666666666657,-0.0019006294688405645,-0.009367292126279203,0.02499999999999991,0.012499999999999956,0.026499999999999968,0.052999999999999936
6,1.0,0.3,0.17523980289680985,2.0,0.0,0.5,0.293,0.171,2.02,0.626,0.241132890316105,0.34057894716813025,0.1600982500792306,0.18325881755131984,1.9920081969596362,2.04968843010795,0.6173676764507336,0.6344928614289308,0.5090400000000002,0.4741654128609638,0.5433511601728807,2458.368062734604,0.0,1095.1617476940155,-0.007000000000000006,-0.023333333333333355,-0.004239802896809836,-0.024194291631944188,0.020000000000000018,0.010000000000000009,0.009040000000000159,0.018080000000000318
7,1.0,0.3,0.19814571444897175,2.0,0.0,0.5,0.313,0.191,2.013,0.624,0.27206889552635677,0.35213509758997613,0.1800685980364869,0.20244268809533744,1.9873553589814332,2.042528447484388,0.614508030690637,0.6320101250762815,0.4992239999999999,0.4610093315605046,0.5314727635571095,2444.2821292877197,0.0,1266.8007202148438,0.013000000000000012,0.043333333333333376,-0.007145714448971746,-0.03606292706780683,0.0129999999999999,0.00649999999999995,-0.0007760000000001099,-0.0015520000000002199
8,1.0,0.3,0.2572590376843348,2.0,0.0,0.5,0.337,0.264,2.008,0.63,0.30480609634999284,0.3666898536174351,0.2518909011398661,0.2763360602484067,1.9785655610416515,2.039957001593715,0.6206459853381058,0.6366647715758306,0.5220799999999999,0.484514277117833,0.5488457226485357,1911.8736040592194,0.0,711.7081296443939,0.03700000000000003,0.12333333333333345,0.006740962315665233,0.02620301458149981,0.008000000000000007,0.0040000000000000036,0.022079999999999878,0.044159999999999755
9,1.0,0.3,0.1611430661886762,2.0,0.0,0.5,0.366,0.16,1.99,0.617,0.3148471187564822,0.41385301054994533,0.14904925675312328,0.17234089263921848,1.9608034851110225,2.0149115231028523,0.6085661650275186,0.6247230383543386,0.46565999999999996,0.4320933368095241,0.49639769265026756,2204.5234785079956,0.0,829.9492282867432,0.066,0.22000000000000003,-0.001143066188676184,-0.007093486649545392,-0.010000000000000009,-0.0050000000000000044,-0.03434000000000004,-0.06868000000000007
10,1.0,0.3,0.16615690411839965,2.0,0.0,0.5,0.314,0.169,2.034,0.622,0.26975056875013664,0.3660714764523384,0.15712735783863263,0.17886322845177954,2.003407859789609,2.0617270618892642,0.6142630642677097,0.6306152334994711,0.49629600000000007,0.46482214544104306,0.5313427698758484,2111.622264146805,0.0,9967.926654100418,0.014000000000000012,0.04666666666666671,0.002843095881600366,0.017110910297019256,0.03399999999999981,0.016999999999999904,-0.0037039999999999296,-0.007407999999999859
11,1.0,0.3,0.26975211627157153,2.0,0.0,0.5,0.285,0.262,2.023,0.628,0.2505954556062452,0.3142820577299053,0.25056161259236504,0.2742983134247207,1.9922781776558456,2.0526010300589927,0.6203712053797205,0.6373285095834383,0.5178880000000001,0.4870218969663491,0.5556311497745914,1927.1675207614899,0.0,633.5893864631653,-0.015000000000000013,-0.050000000000000044,-0.007752116271571519,-0.02873792568791978,0.02300000000000013,0.011500000000000066,0.017888000000000126,0.03577600000000025
12,1.0,0.3,0.6168133619736567,2.0,0.0,0.5,0.295,0.609,2.027,0.627,0.27515321204995347,0.31308986832261354,0.5898261963678549,0.6279320826439122,1.9921547544176732,2.061780485242958,0.6193443464866555,0.6348663083636585,0.5148580000000003,0.4838219806569013,0.5467480141062717,1328.1841015815735,0.0,829.1018142700195,-0.0050000000000000044,-0.016666666666666684,-0.007813361973656674,-0.01266730336167778,0.027000000000000135,0.013500000000000068,0.01485800000000026,0.02971600000000052
