sim_id,true_sigma,true_eta,true_kappa,true_a,true_b,true_x0,tada_eta,tada_kappa,tada_a,tada_z,tada_eta_hdi_3%,tada_eta_hdi_97%,tada_kappa_hdi_3%,tada_kappa_hdi_97%,tada_a_hdi_3%,tada_a_hdi_97%,tada_z_hdi_3%,tada_z_hdi_97%,tada_x0,tada_x0_hdi_3%,tada_x0_hdi_97%,addm_eta,addm_kappa,addm_a,addm_x0_raw,addm_eta_hdi_3%,addm_eta_hdi_97%,addm_kappa_hdi_3%,addm_kappa_hdi_97%,addm_a_hdi_3%,addm_a_hdi_97%,addm_x0_raw_hdi_3%,addm_x0_raw_hdi_97%,addm_x0,addm_x0_hdi_3%,addm_x0_hdi_97%,time_data_simulation,time_tada_inference,time_addm_inference,tada_eta_error,tada_eta_rel_error,addm_eta_error,addm_eta_rel_error,tada_kappa_error,tada_kappa_rel_error,addm_kappa_error,addm_kappa_rel_error,tada_a_error,tada_a_rel_error,addm_a_error,addm_a_rel_error,tada_x0_error,tada_x0_rel_error,addm_x0_error,addm_x0_rel_error
0,1.0,0.3,0.5229543176249873,2.0,0.0,0.5,0.247,0.531,1.948,0.615,0.22581295245283056,0.2683621300717533,0.5133525615372736,0.54907988196168,1.912367587039554,1.982306597765391,0.6066574692521807,0.6238337478883345,0.44803999999999977,0.4155375002064958,0.4824562817729512,0.288,0.516,2.014,0.62,0.26853633003336436,0.308917329327211,0.49868520914488074,0.533065427387128,1.9815048271995093,2.0541002769170613,0.6125659602577312,0.6288352644183611,0.4833599999999998,0.45341568791814124,0.5189484450771586,1526.0043342113495,119.22163701057434,712.6198482513428,-0.05299999999999999,-0.17666666666666664,-0.01200000000000001,-0.040000000000000036,0.008045682375012686,0.015385057745679189,-0.006954317624987327,-0.013298135975950191,-0.052000000000000046,-0.026000000000000023,0.01399999999999979,0.006999999999999895,-0.05196000000000023,-0.10392000000000046,-0.01664000000000021,-0.03328000000000042
1,1.0,0.3,1.0792663404301215,2.0,0.0,0.5,0.258,1.104,1.947,0.616,0.24082132461226682,0.27133018920016944,1.0727868937771257,1.1365673878741047,1.9070853857666037,1.9933722661099453,0.6092016626606046,0.6227754857496979,0.4517039999999999,0.42523127440039454,0.47808774150932365,0.304,1.09,2.02,0.624,0.2907235176387372,0.3171770685597363,1.059370343984154,1.1165407538421528,1.985586193345715,2.062039790354322,0.6176732328899862,0.6302186816346906,0.5009600000000001,0.4753998608755441,0.52608347380415,875.1266043186188,106.49670386314392,942.8163492679596,-0.04199999999999998,-0.13999999999999996,0.0040000000000000036,0.013333333333333346,0.024733659569878608,0.022917104558288614,0.010733659569878595,0.009945329681643638,-0.052999999999999936,-0.026499999999999968,0.020000000000000018,0.010000000000000009,-0.04829600000000012,-0.09659200000000023,0.0009600000000000719,0.0019200000000001438
2,1.0,0.3,0.27451599083423217,2.0,0.0,0.5,0.278,0.28,1.97,0.624,0.2435555794214809,0.3099154873243024,0.26543886933742694,0.29402192363704727,1.942477568592438,1.9981738005618637,0.6161940094518115,0.6322222108299849,0.4885599999999999,0.45780439724013733,0.5209555106701405,0.292,0.279,2.008,0.627,0.2624227001067209,0.32176027711631283,0.2655680780906923,0.2910006185824615,1.9797634429226667,2.041049884468715,0.6174687378743019,0.6346447529354654,0.5100319999999998,0.4717544513031964,0.5407333277888289,1917.3378565311432,124.14085340499878,725.7976222038269,-0.021999999999999964,-0.07333333333333322,-0.008000000000000007,-0.026666666666666693,0.005484009165767856,0.01997701171834249,0.004484009165767855,0.016334236676491264,-0.030000000000000027,-0.015000000000000013,0.008000000000000007,0.0040000000000000036,-0.011440000000000117,-0.022880000000000233,0.010031999999999819,0.020063999999999638
3,1.0,0.3,0.3250583646742278,2.0,0.0,0.5,0.25,0.312,1.964,0.624,0.22107128073399585,0.27931706111008575,0.29792659072192446,0.32568999506544033,1.9328971814689746,1.994758591752211,0.6156851166104995,0.6323034135978524,0.48707199999999995,0.45441113804604205,0.519687808612364,0.276,0.308,2.006,0.628,0.24756639712002684,0.3046351828876946,0.294519248507,0.32338101157779925,1.9717251914785345,2.035717417600623,0.619382841127974,0.6356240859318758,0.5135359999999998,0.4789639586054317,0.5441238327586855,1765.789249420166,108.05317115783691,555.8642613887787,-0.04999999999999999,-0.16666666666666663,-0.023999999999999966,-0.07999999999999989,-0.013058364674227774,-0.040172369313784054,-0.017058364674227777,-0.05247785175847914,-0.03600000000000003,-0.018000000000000016,0.005999999999999783,0.0029999999999998916,-0.01292800000000005,-0.0258560000000001,0.01353599999999977,0.02707199999999954
4,1.0,0.3,0.5941847403821459,2.0,0.0,0.5,0.274,0.628,1.954,0.622,0.2570080313613103,0.2945634365350267,0.6096496787207518,0.6498144161763942,1.9193451843241303,1.9900612748671322,0.6138424892268076,0.6290009829151778,0.47677599999999987,0.44489644789836436,0.5041358412325148,0.317,0.612,2.02,0.627,0.2980053306353921,0.3356494512908028,0.5926747044553926,0.6334419831570995,1.9837284143407419,2.0558434132238568,0.620148745425069,0.634927893137531,0.51308,0.4854009315172787,0.5451086882756249,1394.9328126907349,98.95314383506775,744.7786984443665,-0.025999999999999968,-0.08666666666666656,0.017000000000000015,0.05666666666666672,0.03381525961785414,0.05691034676539503,0.01781525961785413,0.029982694618505966,-0.04600000000000004,-0.02300000000000002,0.020000000000000018,0.010000000000000009,-0.023224000000000133,-0.04644800000000027,0.01307999999999998,0.02615999999999996
5,1.0,0.3,0.20290062946884058,2.0,0.0,0.5,0.304,0.21,1.97,0.621,0.265075216979105,0.34283013557834907,0.1985245017150065,0.2211967010414086,1.940444044753395,1.998859850658211,0.611931001720414,0.6301898706869783,0.47674000000000016,0.4410081467784315,0.5129480905066945,0.308,0.211,1.994,0.622,0.2686393607336474,0.3486063588136602,0.19923297285866148,0.22253453099851153,1.9654165979703853,2.0252295564476492,0.6135177013387193,0.6301603607376927,0.48653599999999986,0.4527085929388124,0.5190795186219181,2011.0831263065338,93.07375025749207,689.9016101360321,0.0040000000000000036,0.013333333333333346,0.008000000000000007,0.026666666666666693,0.007099370531159416,0.03498939628597685,0.008099370531159417,0.039917917220671985,-0.030000000000000027,-0.015000000000000013,-0.006000000000000005,-0.0030000000000000027,-0.023259999999999836,-0.04651999999999967,-0.013464000000000143,-0.026928000000000285
6,1.0,0.3,0.17523980289680985,2.0,0.0,0.5,0.262,0.159,1.972,0.63,0.2056878932429819,0.3237565956886732,0.14850293020656832,0.17095737694168853,1.9457919340050915,2.002185762787625,0.6223006887696205,0.6386085574497182,0.5127199999999998,0.48235391650738313,0.5466721505816885,0.237,0.165,1.996,0.632,0.183617537179563,0.28636925264179725,0.1525131697220243,0.1772761386938592,1.9679138084558152,2.02595719481374,0.623509220178956,0.6407261042282631,0.5269439999999999,0.49304880695439257,0.5617786080792264,2043.7973358631134,156.22418403625488,1123.9762315750122,-0.03799999999999998,-0.1266666666666666,-0.063,-0.21000000000000002,-0.016239802896809846,-0.09267188520163237,-0.010239802896809841,-0.05843308841678828,-0.028000000000000025,-0.014000000000000012,-0.0040000000000000036,-0.0020000000000000018,0.012719999999999843,0.025439999999999685,0.026943999999999857,0.053887999999999714
7,1.0,0.3,0.19814571444897175,2.0,0.0,0.5,0.248,0.18,1.963,0.626,0.1984700021650543,0.2981684213582209,0.16782737837831962,0.19124861697980325,1.9348641357494205,1.995091287807431,0.6178941928592151,0.6353965329539684,0.4946760000000001,0.4628526011652787,0.5315667883772797,0.247,0.182,1.988,0.626,0.20602993762966965,0.29257522667897584,0.1704736459176288,0.1920452121309815,1.9609994492324956,2.020912768806244,0.6174466775158034,0.6349768539508674,0.5009760000000001,0.46696798980283427,0.5366679713086491,2048.657984972,136.26561522483826,763.7735950946808,-0.05199999999999999,-0.1733333333333333,-0.05299999999999999,-0.17666666666666664,-0.018145714448971756,-0.09157762760316879,-0.016145714448971754,-0.08148404568764843,-0.03699999999999992,-0.01849999999999996,-0.01200000000000001,-0.006000000000000005,-0.005323999999999884,-0.010647999999999769,0.0009760000000000879,0.0019520000000001758
8,1.0,0.3,0.2572590376843348,2.0,0.0,0.5,0.273,0.263,1.955,0.619,0.2351997660171516,0.30791824021586334,0.250275465349685,0.27624491940263307,1.922305306612786,1.9838757273962857,0.6100635674555943,0.6285681639599132,0.46529,0.4303485487513736,0.5027015210832606,0.279,0.265,1.994,0.622,0.24910478068171898,0.31124224193093747,0.25196574574500746,0.27635641661689003,1.9628287575182313,2.0262369135820704,0.6127414662295858,0.6291664873820126,0.48653599999999986,0.44961296732358824,0.5151159516794663,1880.8018391132355,91.56207752227783,767.9742603302002,-0.02699999999999997,-0.0899999999999999,-0.020999999999999963,-0.06999999999999988,0.005740962315665232,0.022315881950509278,0.007740962315665234,0.030090147212490342,-0.04499999999999993,-0.022499999999999964,-0.006000000000000005,-0.0030000000000000027,-0.03471000000000002,-0.06942000000000004,-0.013464000000000143,-0.026928000000000285
9,1.0,0.3,0.1611430661886762,2.0,0.0,0.5,0.321,0.156,1.978,0.63,0.264236350645161,0.3761056749592802,0.1457824962028805,0.16793874440162723,1.9470041937543023,2.008696691606478,0.6214994199759285,0.6388371642170385,0.5142800000000001,0.480651705424773,0.5492398216426044,0.31,0.16,1.996,0.631,0.255710274643335,0.35836637950989625,0.14903621176625104,0.17134020167368127,1.9650680754415333,2.024440950916814,0.6216424943418385,0.6388081386396969,0.5229520000000001,0.4855968374126194,0.5541220894496699,2863.9351522922516,130.24207162857056,963.2854535579681,0.02100000000000002,0.07000000000000006,0.010000000000000009,0.03333333333333337,-0.0051430661886761875,-0.03191614948330678,-0.001143066188676184,-0.007093486649545392,-0.02200000000000002,-0.01100000000000001,-0.0040000000000000036,-0.0020000000000000018,0.01428000000000007,0.02856000000000014,0.022952000000000083,0.04590400000000017
