sim_id,true_sigma,true_eta,true_kappa,true_a,true_b,true_x0,addm_eta,addm_kappa,addm_a,addm_x0_raw,addm_eta_hdi_3%,addm_eta_hdi_97%,addm_kappa_hdi_3%,addm_kappa_hdi_97%,addm_a_hdi_3%,addm_a_hdi_97%,addm_x0_raw_hdi_3%,addm_x0_raw_hdi_97%,addm_x0,addm_x0_hdi_3%,addm_x0_hdi_97%,time_data_simulation,time_tada_inference,time_addm_inference,addm_eta_error,addm_eta_rel_error,addm_kappa_error,addm_kappa_rel_error,addm_a_error,addm_a_rel_error,addm_x0_error,addm_x0_rel_error
0,1.0,0.3,0.5,2.0,0.0,-0.30180789244006667,0.306,0.516,2.034,0.438,0.2845590518050121,0.3246672288786991,0.5008727759812269,0.5341477235020787,2.0035092638779277,2.072651860136154,0.4299375394605511,0.44620612469610305,-0.252216,-0.28501408947447815,-0.21883348473625275,1561.4684839248657,0.0,735.7460336685181,0.006000000000000005,0.020000000000000018,0.016000000000000014,0.03200000000000003,0.03399999999999981,0.016999999999999904,0.049591892440066676,-0.16431608875143874
1,1.0,0.3,0.5,2.0,0.0,0.6805088250372497,0.298,0.492,2.003,0.672,0.2782244319568008,0.3182353904925323,0.4747546395906269,0.5084855965852048,1.969048946636412,2.036045740031701,0.6645711837425531,0.679684258449087,0.6890320000000001,0.6592721620726678,0.7198151393470424,1422.1602585315704,0.0,883.8667461872101,-0.0020000000000000018,-0.006666666666666673,-0.008000000000000007,-0.016000000000000014,0.0030000000000001137,0.0015000000000000568,0.008523174962750346,0.012524708937145385
2,1.0,0.3,0.5,2.0,0.0,-0.19889653211649239,0.307,0.498,2.034,0.452,0.288349846924156,0.3258194307563507,0.48193449883287404,0.5126312650159748,2.000761754498399,2.068237081022684,0.44346235306085485,0.4598263716610116,-0.19526399999999988,-0.22999514774844254,-0.16342632008300484,1569.0858025550842,0.0,771.7626965045929,0.007000000000000006,0.023333333333333355,-0.0020000000000000018,-0.0040000000000000036,0.03399999999999981,0.016999999999999904,0.003632532116492504,-0.018263426103201006
3,1.0,0.3,0.5,2.0,0.0,-0.38902463304573565,0.288,0.502,2.009,0.404,0.2666410555674108,0.3089185306415388,0.483778303099434,0.5180657347618318,1.9777584440523417,2.045148614088505,0.3963936115793452,0.41173769899140866,-0.38572799999999985,-0.41629046867419084,-0.35463792545252004,2066.1725754737854,0.0,823.1905195713043,-0.01200000000000001,-0.040000000000000036,0.0020000000000000018,0.0040000000000000036,0.008999999999999897,0.0044999999999999485,0.0032966330457357973,-0.008474098464989052
4,1.0,0.3,0.5,2.0,0.0,-0.12318048990321917,0.299,0.497,2.014,0.467,0.2794719327518946,0.31949344253537837,0.47921994400872286,0.5130867066252317,1.9791649599299228,2.0457338336377733,0.459525192561506,0.4753823583982616,-0.13292399999999982,-0.1630325243622539,-0.09915986037180224,1565.2289440631866,0.0,684.7710995674133,-0.0010000000000000009,-0.0033333333333333366,-0.0030000000000000027,-0.006000000000000005,0.01399999999999979,0.006999999999999895,-0.00974351009678065,0.07909945888700362
5,1.0,0.3,0.5,2.0,0.0,-0.6457431381046559,0.288,0.494,1.999,0.334,0.2650560895445227,0.30922980789353904,0.4755985632309096,0.5120121125732471,1.963196031531665,2.037376752797238,0.3273241905540791,0.34169157674311,-0.6636679999999999,-0.6903578861647919,-0.6329170761810461,1411.1540150642395,0.0,541.7308099269867,-0.01200000000000001,-0.040000000000000036,-0.006000000000000005,-0.01200000000000001,-0.0009999999999998899,-0.0004999999999999449,-0.017924861895344035,0.0277585015428208
6,1.0,0.3,0.5,2.0,0.0,-1.3833603131586232,0.293,0.484,2.005,0.158,0.26797995403580555,0.317327235337891,0.4627026189385081,0.5049557917516179,1.9579222096220503,2.050102823495966,0.15278203541563581,0.16298216064260992,-1.37142,-1.3923440379833003,-1.3514415358231342,962.9973833560944,0.0,774.7684161663055,-0.007000000000000006,-0.023333333333333355,-0.016000000000000014,-0.03200000000000003,0.004999999999999893,0.0024999999999999467,0.011940313158623095,-0.008631383338849592
7,1.0,0.3,0.5,2.0,0.0,-1.4716168323935523,0.306,0.503,1.995,0.132,0.28077392790292577,0.3282477339352292,0.48339936797400723,0.5239036751202913,1.9506122619011808,2.0462017518325264,0.12823305080716033,0.13669178796127904,-1.46832,-1.4833501272794303,-1.4495997660344968,873.2120225429535,0.0,807.4537174701691,0.006000000000000005,0.020000000000000018,0.0030000000000000027,0.006000000000000005,-0.004999999999999893,-0.0024999999999999467,0.0032968323935522736,-0.002240279073316964
9,1.0,0.3,0.5,2.0,0.0,-1.282605114829443,0.299,0.491,1.962,0.185,0.27300331715561427,0.32202143312568643,0.472747386431995,0.5100176279020868,1.920965873183897,2.0033857100458974,0.17921873760658777,0.18991329858102313,-1.23606,-1.2587456736317497,-1.2167802163680652,1045.83660364151,0.0,897.6669578552246,-0.0010000000000000009,-0.0033333333333333366,-0.009000000000000008,-0.018000000000000016,-0.038000000000000034,-0.019000000000000017,0.046545114829443124,-0.03628951287601294
10,1.0,0.3,0.5,2.0,0.0,-0.5196264468365419,0.309,0.502,2.0,0.374,0.2879002385460109,0.3279802335760203,0.48505225074310077,0.517042410481714,1.9661497869752305,2.029496247334815,0.3669080595871043,0.38134687451857585,-0.504,-0.5323677616515827,-0.4746125019256966,1477.9786956310272,0.0,901.1527917385101,0.009000000000000008,0.030000000000000027,0.0020000000000000018,0.0040000000000000036,0.0,0.0,0.015626446836541907,-0.03007246250008036
