sim_id,true_eta,addm_eta,addm_eta_hdi_3%,addm_eta_hdi_97%,true_kappa,addm_kappa,addm_kappa_hdi_3%,addm_kappa_hdi_97%,true_a,addm_a,addm_a_hdi_3%,addm_a_hdi_97%,true_x0,addm_x0,addm_x0_hdi_3%,addm_x0_hdi_97%
0,0.3,0.306,0.2845590518050121,0.3246672288786991,0.5,0.516,0.5008727759812269,0.5341477235020787,2.0,2.034,2.0035092638779277,2.072651860136154,-0.30180789244006667,-0.252216,-0.28501408947447815,-0.21883348473625275
1,0.3,0.298,0.2782244319568008,0.3182353904925323,0.5,0.492,0.4747546395906269,0.5084855965852048,2.0,2.003,1.969048946636412,2.036045740031701,0.6805088250372497,0.6890320000000001,0.6592721620726678,0.7198151393470424
2,0.3,0.307,0.288349846924156,0.3258194307563507,0.5,0.498,0.48193449883287404,0.5126312650159748,2.0,2.034,2.000761754498399,2.068237081022684,-0.19889653211649239,-0.19526399999999988,-0.22999514774844254,-0.16342632008300484
3,0.3,0.288,0.2666410555674108,0.3089185306415388,0.5,0.502,0.483778303099434,0.5180657347618318,2.0,2.009,1.9777584440523417,2.045148614088505,-0.38902463304573565,-0.38572799999999985,-0.41629046867419084,-0.35463792545252004
4,0.3,0.299,0.2794719327518946,0.31949344253537837,0.5,0.497,0.47921994400872286,0.5130867066252317,2.0,2.014,1.9791649599299228,2.0457338336377733,-0.12318048990321917,-0.13292399999999982,-0.1630325243622539,-0.09915986037180224
5,0.3,0.288,0.2650560895445227,0.30922980789353904,0.5,0.494,0.4755985632309096,0.5120121125732471,2.0,1.999,1.963196031531665,2.037376752797238,-0.6457431381046559,-0.6636679999999999,-0.6903578861647919,-0.6329170761810461
6,0.3,0.293,0.26797995403580555,0.317327235337891,0.5,0.484,0.4627026189385081,0.5049557917516179,2.0,2.005,1.9579222096220503,2.050102823495966,-1.3833603131586232,-1.37142,-1.3923440379833003,-1.3514415358231342
7,0.3,0.306,0.28077392790292577,0.3282477339352292,0.5,0.503,0.48339936797400723,0.5239036751202913,2.0,1.995,1.9506122619011808,2.0462017518325264,-1.4716168323935523,-1.46832,-1.4833501272794303,-1.4495997660344968
9,0.3,0.299,0.27300331715561427,0.32202143312568643,0.5,0.491,0.472747386431995,0.5100176279020868,2.0,1.962,1.920965873183897,2.0033857100458974,-1.282605114829443,-1.23606,-1.2587456736317497,-1.2167802163680652
10,0.3,0.309,0.2879002385460109,0.3279802335760203,0.5,0.502,0.48505225074310077,0.517042410481714,2.0,2.0,1.9661497869752305,2.029496247334815,-0.5196264468365419,-0.504,-0.5323677616515827,-0.4746125019256966
11,0.3,0.292,0.270889037610849,0.3142787226622638,0.5,0.502,0.4831199611220288,0.5179956026547554,2.0,1.999,1.9640932802321553,2.032747366521769,0.8890180541318764,0.855572,0.8259730222473038,0.8826004131469931
12,0.3,0.317,0.2959239386197651,0.33637058252377594,0.5,0.506,0.48957887718560883,0.5240326443899831,2.0,2.004,1.9714335554159004,2.038173485856066,0.7603172801719751,0.7815599999999998,0.7565392076803277,0.8157457539494821
13,0.3,0.303,0.27926552057132076,0.3247530989139209,0.5,0.485,0.4670060417533686,0.5011913696299892,2.0,2.005,1.9702007983746583,2.0379560751407966,0.6507419480086849,0.6536300000000002,0.6254103941085289,0.6857733793520553
14,0.3,0.3,0.278564936044379,0.31977388879469026,0.5,0.503,0.48764216265525395,0.5201672770171684,2.0,1.984,1.9496363448721927,2.0200217780915386,-0.6692177953096152,-0.6705919999999999,-0.7017003413196647,-0.6387575419193803
15,0.3,0.308,0.2830284481660651,0.3310812706580649,0.5,0.503,0.48526894769402484,0.5221155151524631,2.0,1.983,1.9441761491995475,2.0222574690836415,-1.1580427037329732,-1.138242,-1.1653833726611946,-1.1184815455284913
16,0.3,0.296,0.27774344520241984,0.3168474175342109,0.5,0.491,0.4729259752563873,0.5062217577591667,2.0,1.993,1.9612198581771585,2.0274303554049378,-0.3341925608072407,-0.3427960000000001,-0.3730137228637551,-0.3136485160090363
17,0.3,0.276,0.2550765829792885,0.2989119302579306,0.5,0.493,0.4752519211203589,0.5100062664969282,2.0,2.013,1.9760423945025167,2.0505298190251744,-1.0417070640052293,-1.034682,-1.0598332733549678,-1.007714533932471
18,0.3,0.305,0.28357958181162474,0.32401117205758306,0.5,0.514,0.49750169863324606,0.5296211120538913,2.0,2.043,2.0088455226429707,2.0732910938410667,-0.2632300397016989,-0.23698799999999998,-0.27212851751219347,-0.20372181571353143
19,0.3,0.295,0.27304204387229486,0.3164111348330325,0.5,0.502,0.4819656428909997,0.5180823082201644,2.0,1.994,1.9588191652616354,2.0338451934341046,1.0409344196794112,1.0328920000000001,1.0061947498513775,1.0571259290798698
20,0.3,0.289,0.2654695754753124,0.3081019077848316,0.5,0.493,0.4775690729132737,0.5108789112920893,2.0,2.011,1.9784901328724567,2.045876358815504,0.3482037356812522,0.35393600000000003,0.318303222761791,0.38492408775641973
21,0.3,0.29,0.2682859209422335,0.310640049353764,0.5,0.509,0.49111182610172355,0.5268571766697998,2.0,2.026,1.9852771812418069,2.0642534953133667,1.145433184186798,1.166976,1.1442519143377514,1.1905221346142283
22,0.3,0.303,0.27686701091462684,0.32734874341488307,0.5,0.493,0.4671988079334065,0.5103059091384539,2.0,2.042,1.990701745945314,2.097156476245545,-1.5796422221850206,-1.6090959999999999,-1.6241458819991865,-1.5946574427473377
23,0.3,0.308,0.288418876835862,0.3263338856898873,0.5,0.498,0.4823703295533013,0.5144985019490681,2.0,1.977,1.9477037578125622,2.008290297028158,0.32671645287259343,0.32422799999999996,0.2878366411409614,0.35368115412982815
24,0.3,0.291,0.2691036444644096,0.31301168701164755,0.5,0.497,0.4777081642544941,0.5161875818137399,2.0,2.015,1.9768010090277992,2.0596794195684502,1.1012649212214538,1.10825,1.084865835298808,1.1373402398815857
25,0.3,0.299,0.27395881840264447,0.32411497121848326,0.5,0.493,0.4713044618035513,0.5125801090986901,2.0,1.962,1.917660992018049,2.0047483899539795,-1.3846143981179027,-1.357704,-1.3769410161343378,-1.3413294360095889
26,0.3,0.31,0.28707147808790956,0.33392603712178043,0.5,0.491,0.47398997314044866,0.5092081532785406,2.0,1.991,1.9542075665560656,2.0304392200524113,1.116147361342684,1.09505,1.0696988312367997,1.1175143602269118
27,0.3,0.302,0.28202034071986454,0.3205912377522068,0.5,0.506,0.4892167258902489,0.5223219855262157,2.0,2.027,1.9942000954576302,2.059416669596253,-0.08624965576910126,-0.08513400000000004,-0.11408160239791676,-0.051196386651588766
28,0.3,0.298,0.2722076938060744,0.32068522130215177,0.5,0.487,0.4681766831318022,0.5060236586095952,2.0,1.995,1.9538879075774072,2.0369485270056944,-1.205180414208618,-1.197,-1.2214043464403033,-1.1738547725240136
