sim_id,true_sigma,true_eta,true_kappa,true_a,true_b,true_x0,tada_eta,tada_kappa,tada_a,tada_z,tada_eta_hdi_3%,tada_eta_hdi_97%,tada_kappa_hdi_3%,tada_kappa_hdi_97%,tada_a_hdi_3%,tada_a_hdi_97%,tada_z_hdi_3%,tada_z_hdi_97%,tada_x0,tada_x0_hdi_3%,tada_x0_hdi_97%,addm_eta,addm_kappa,addm_a,addm_x0_raw,addm_eta_hdi_3%,addm_eta_hdi_97%,addm_kappa_hdi_3%,addm_kappa_hdi_97%,addm_a_hdi_3%,addm_a_hdi_97%,addm_x0_raw_hdi_3%,addm_x0_raw_hdi_97%,addm_x0,addm_x0_hdi_3%,addm_x0_hdi_97%,time_data_simulation,time_tada_inference,time_addm_inference,tada_eta_error,tada_eta_rel_error,addm_eta_error,addm_eta_rel_error,tada_kappa_error,tada_kappa_rel_error,addm_kappa_error,addm_kappa_rel_error,tada_a_error,tada_a_rel_error,addm_a_error,addm_a_rel_error,tada_x0_error,tada_x0_rel_error,addm_x0_error,addm_x0_rel_error
0,1.0,0.3,0.5,2.0,0.0,-0.30180789244006667,0.248,0.493,1.942,0.428,0.22494138252301407,0.26926558031298725,0.477567803177318,0.5101513661731827,1.908774153007919,1.9730330818785164,0.4195310909680503,0.43624780970388377,-0.2796480000000001,-0.31254124268009265,-0.24761350711011532,0.284,0.482,2.008,0.423,0.2616792796519755,0.3034220909096249,0.4649182407827026,0.4982291798174146,1.9706698616477318,2.0398272008765295,0.41507746390548433,0.4311146794533296,-0.30923199999999995,-0.34104890495557494,-0.27664344731542845,1562.8389420509338,277.380384683609,722.1953449249268,-0.05199999999999999,-0.1733333333333333,-0.016000000000000014,-0.053333333333333385,-0.007000000000000006,-0.014000000000000012,-0.018000000000000016,-0.03600000000000003,-0.05800000000000005,-0.029000000000000026,0.008000000000000007,0.0040000000000000036,0.022159892440066553,-0.07342383348860596,-0.0074241075599332795,0.024598785339609918
1,1.0,0.3,0.5,2.0,0.0,0.6805088250372497,0.26,0.508,1.952,0.667,0.23712170067370134,0.2797444706900084,0.49007208887837134,0.5243945947825105,1.9177568754317256,1.9854231901488923,0.6591262689947744,0.675303371017623,0.6519680000000001,0.6212289541555993,0.6843843604528006,0.295,0.495,2.011,0.675,0.27607249543072854,0.3151583591918018,0.4789119532605803,0.5117116660250826,1.9766292068168665,2.0444415515414316,0.6674953791902767,0.6820583962753429,0.7038500000000001,0.673666415103293,0.7322388698194291,1384.4261355400085,402.09441661834717,784.8595304489136,-0.03999999999999998,-0.13333333333333328,-0.0050000000000000044,-0.016666666666666684,0.008000000000000007,0.016000000000000014,-0.0050000000000000044,-0.010000000000000009,-0.04800000000000004,-0.02400000000000002,0.01100000000000012,0.00550000000000006,-0.02854082503724964,-0.041940418679636327,0.023341174962750344,0.034299591870057954
2,1.0,0.3,0.5,2.0,0.0,-0.19889653211649239,0.264,0.513,1.941,0.461,0.24001498123786977,0.2844908708018182,0.4949020890797736,0.5308207446120595,1.9071761417942026,1.971813953075681,0.45191943440751153,0.4690178996569882,-0.15139799999999992,-0.18664875563004024,-0.12027251353157187,0.301,0.505,2.01,0.458,0.2810948621040441,0.32189650913514073,0.4890296950954163,0.521608880324615,1.9780974439263885,2.043674363448935,0.44952189193629,0.465792156935673,-0.16883999999999988,-0.20292199441611425,-0.13751552911859455,1493.353469133377,380.90640902519226,873.9159457683563,-0.035999999999999976,-0.11999999999999993,0.0010000000000000009,0.0033333333333333366,0.013000000000000012,0.026000000000000023,0.0050000000000000044,0.010000000000000009,-0.05899999999999994,-0.02949999999999997,0.009999999999999787,0.004999999999999893,0.047498532116492465,-0.23881025783130744,0.030056532116492507,-0.15111642116961896
3,1.0,0.3,0.5,2.0,0.0,-0.38902463304573565,0.266,0.512,1.935,0.414,0.24476884546041486,0.2860594124034892,0.4938909448703409,0.5292413106954081,1.901519778883208,1.9665278366277745,0.4054331212240465,0.4222358228578294,-0.3328200000000001,-0.36597382086293995,-0.3009473655402002,0.305,0.503,2.004,0.408,0.28434559348609634,0.3247669653765071,0.4882533282788657,0.5214478544967834,1.971773690585771,2.036634979936869,0.4001942091774277,0.41567247017571324,-0.3687360000000002,-0.40002160961686983,-0.3379847395357414,1572.9611501693726,296.6951651573181,581.5189476013184,-0.033999999999999975,-0.11333333333333326,0.0050000000000000044,0.016666666666666684,0.01200000000000001,0.02400000000000002,0.0030000000000000027,0.006000000000000005,-0.06499999999999995,-0.03249999999999997,0.0040000000000000036,0.0020000000000000018,0.05620463304573553,-0.14447576906814494,0.02028863304573547,-0.05215256650174705
4,1.0,0.3,0.5,2.0,0.0,-0.12318048990321917,0.264,0.513,1.942,0.47,0.2432889954061551,0.2858515814256888,0.495914713176782,0.53054263457603,1.90413569225718,1.9727580487917575,0.46251266275906633,0.4790723534476353,-0.11652000000000018,-0.14560081784378642,-0.08128297920938432,0.308,0.5,2.004,0.467,0.2863571925653881,0.3268986648014069,0.4812817508930979,0.5170129158736594,1.9721691139800197,2.0375235329438093,0.45978053291264287,0.4755480047877439,-0.13226399999999994,-0.1611996240861273,-0.09800359681072246,1582.3197860717773,286.3701243400574,616.9003891944885,-0.035999999999999976,-0.11999999999999993,0.008000000000000007,0.026666666666666693,0.013000000000000012,0.026000000000000023,0.0,0.0,-0.05800000000000005,-0.029000000000000026,0.0040000000000000036,0.0020000000000000018,0.006660489903218991,-0.05407098078966909,-0.009083510096780767,0.0737414675320542
5,1.0,0.3,0.5,2.0,0.0,-0.6457431381046559,0.276,0.5,1.953,0.345,0.25356740253727283,0.2981112967792742,0.48385583387285036,0.517788937276581,1.9207092748640406,1.990564774894566,0.33739014559588903,0.3525543942845887,-0.6054300000000001,-0.6351540913024574,-0.5759225359243967,0.316,0.489,2.018,0.338,0.2927842980577627,0.3369574846696006,0.471871865907608,0.5072906166382051,1.9836597846268262,2.053114283777935,0.3306303776941649,0.34471032028746273,-0.6538319999999997,-0.6835757956263504,-0.6267491473198004,1491.0142304897308,350.28010988235474,698.9830274581909,-0.023999999999999966,-0.07999999999999989,0.016000000000000014,0.053333333333333385,0.0,0.0,-0.01100000000000001,-0.02200000000000002,-0.04699999999999993,-0.023499999999999965,0.017999999999999794,0.008999999999999897,0.040313138104655755,-0.06242906153517993,-0.008088861895343857,0.01252643879280819
7,1.0,0.3,0.5,2.0,0.0,-1.4716168323935523,0.301,0.474,1.903,0.142,0.2714677659454616,0.3335534446646202,0.4518912957811058,0.4953186507498653,1.8557389391853496,1.951821994189713,0.13728268091857732,0.14710478411771685,-1.362548,-1.3805021164238949,-1.3431191916479697,0.3,0.498,1.998,0.133,0.2766366624680652,0.3257013131545382,0.47699612059521174,0.5197607795100215,1.9509524151733895,2.046245099826758,0.12824409398081926,0.13689484945944938,-1.466532,-1.4855366004526462,-1.4509681815600404,822.69438123703,100.94338321685791,748.9772033691406,0.0010000000000000009,0.0033333333333333366,0.0,0.0,-0.026000000000000023,-0.052000000000000046,-0.0020000000000000018,-0.0040000000000000036,-0.09699999999999998,-0.04849999999999999,-0.0020000000000000018,-0.0010000000000000009,0.10906883239355225,-0.07411496660863426,0.0050848323935523965,-0.003455269253262093
9,1.0,0.3,0.5,2.0,0.0,-1.282605114829443,0.27,0.486,1.931,0.19,0.24281872950326283,0.2959053175332122,0.46637910315101094,0.506827877911978,1.884774825969493,1.9737538233569438,0.18436570823648973,0.19599927957082278,-1.1972200000000002,-1.2189796347906767,-1.1740507822974826,0.283,0.497,2.015,0.179,0.26005256049942554,0.3052841404758219,0.4801986923335709,0.516378732362447,1.9724056394624194,2.0589477948227786,0.17318558655304608,0.18378218241311386,-1.29363,-1.3170620861912243,-1.2743578048751512,1044.7212526798248,94.0469183921814,723.1981909275055,-0.02999999999999997,-0.09999999999999991,-0.017000000000000015,-0.05666666666666672,-0.014000000000000012,-0.028000000000000025,-0.0030000000000000027,-0.006000000000000005,-0.06899999999999995,-0.034499999999999975,0.015000000000000124,0.007500000000000062,0.08538511482944289,-0.06657163131678072,-0.011024885170556997,0.00859569718153124
10,1.0,0.3,0.5,2.0,0.0,-0.5196264468365419,0.278,0.531,1.922,0.373,0.2570004703343503,0.2999466833399436,0.5125719932140247,0.5502091479442507,1.8894412512592118,1.9553018326462928,0.3642035557979302,0.38005346340199236,-0.48818800000000007,-0.5220015315127564,-0.4610744866827414,0.319,0.519,1.986,0.366,0.29982248680191054,0.3412346206099025,0.5018402557218673,0.535986504050376,1.9534261307455107,2.019309633632597,0.3585079921113853,0.37372522177958845,-0.532248,-0.5620062553335776,-0.5015634190914746,1388.1946556568146,405.6834456920624,970.9398956298828,-0.021999999999999964,-0.07333333333333322,0.019000000000000017,0.0633333333333334,0.031000000000000028,0.062000000000000055,0.019000000000000017,0.038000000000000034,-0.07800000000000007,-0.039000000000000035,-0.014000000000000012,-0.007000000000000006,0.031438446836541845,-0.06050201452974042,-0.012621553163458143,0.02428966662551047
11,1.0,0.3,0.5,2.0,0.0,0.8890180541318764,0.265,0.487,1.919,0.713,0.24436297631533904,0.2916989123940448,0.4684901463803147,0.5061713313372365,1.8782202820406315,1.9556273001024598,0.7064569312650236,0.720214138932799,0.8174939999999999,0.7923817021951605,0.8451818652240823,0.293,0.486,1.991,0.724,0.2711326893996165,0.31395626321615094,0.468937854480929,0.503968985329862,1.955206885689447,2.026944726616983,0.7163978697121003,0.7310452388448381,0.8919679999999999,0.8616963171935832,0.9200221410801452,1305.3988807201385,102.54841017723083,691.4471187591553,-0.034999999999999976,-0.11666666666666659,-0.007000000000000006,-0.023333333333333355,-0.013000000000000012,-0.026000000000000023,-0.014000000000000012,-0.028000000000000025,-0.08099999999999996,-0.04049999999999998,-0.008999999999999897,-0.0044999999999999485,-0.07152405413187646,-0.0804528702195137,0.0029499458681234714,0.003318206930008958
